ensembl_gene_id	external_gene_name	start_position	end_position	strand	gene_biotype
ENSG00000049239	H6PD	9294834	9331396	1	protein_coding
ENSG00000049245	VAMP3	7831329	7841492	1	protein_coding
ENSG00000049246	PER3	7844380	7905237	1	protein_coding
ENSG00000049247	UTS2	7903143	7913572	-1	protein_coding
ENSG00000049249	TNFRSF9	7979907	8000926	-1	protein_coding
ENSG00000050628	PTGER3	71318036	71513491	-1	protein_coding
ENSG00000052723	SIKE1	115312100	115323306	-1	protein_coding
ENSG00000053371	AKR7A2	19630459	19638640	-1	protein_coding
ENSG00000053372	MRTO4	19578033	19586622	1	protein_coding
ENSG00000054116	TRAPPC3	36602173	36615098	-1	protein_coding
ENSG00000054118	THRAP3	36690017	36770958	1	protein_coding
ENSG00000054267	ARID4B	235294949	235491534	-1	protein_coding
ENSG00000054277	OPN3	241753404	241840678	-1	protein_coding
ENSG00000054282	SDCCAG8	243419320	243663394	1	protein_coding
ENSG00000054392	HHAT	210501596	210849638	1	protein_coding
ENSG00000054523	KIF1B	10270863	10441661	1	protein_coding
ENSG00000055070	SZRD1	16679070	16724640	1	protein_coding
ENSG00000055732	MCOLN3	85483765	85514182	-1	protein_coding
ENSG00000057252	SOAT1	179262925	179327815	1	protein_coding
ENSG00000057468	MSH4	76262567	76378923	1	protein_coding
ENSG00000057757	PITHD1	24104895	24114722	1	protein_coding
ENSG00000058085	LAMC2	183155373	183214035	1	protein_coding
ENSG00000058453	CROCC	17066768	17299474	1	protein_coding
ENSG00000058668	ATP2B4	203595689	203713209	1	protein_coding
ENSG00000058673	ZC3H11A	203764782	203823252	1	protein_coding
ENSG00000058799	YIPF1	54317392	54356407	-1	protein_coding
ENSG00000058804	NDC1	54231133	54304533	-1	protein_coding
ENSG00000059588	TARBP1	234527059	234614849	-1	protein_coding
ENSG00000060642	PIGV	27113963	27124889	1	protein_coding
ENSG00000060656	PTPRU	29563028	29653325	1	protein_coding
ENSG00000060688	SNRNP40	31732417	31769662	-1	protein_coding
ENSG00000060718	COL11A1	103342023	103574052	-1	protein_coding
ENSG00000064703	DDX20	112297867	112310638	1	protein_coding
ENSG00000064886	CHI3L2	111743393	111786062	1	protein_coding
ENSG00000065135	GNAI3	110091233	110136975	1	protein_coding
ENSG00000065183	WDR3	118472343	118509165	1	protein_coding
ENSG00000065243	PKN2	89149905	89301938	1	protein_coding
ENSG00000065526	SPEN	16174359	16266955	1	protein_coding
ENSG00000065600	TMEM206	212537273	212588243	-1	protein_coding
ENSG00000065978	YBX1	43148098	43168020	1	protein_coding
ENSG00000066027	PPP2R5A	212458879	212535200	1	protein_coding
ENSG00000066056	TIE1	43766664	43788779	1	protein_coding
ENSG00000066135	KDM4A	44115829	44171186	1	protein_coding
ENSG00000066136	NFYC	41157320	41237275	1	protein_coding
ENSG00000066185	ZMYND12	42896000	42921938	-1	protein_coding
ENSG00000066279	ASPM	197053258	197115824	-1	protein_coding
ENSG00000066294	CD84	160510885	160549306	-1	protein_coding
ENSG00000066322	ELOVL1	43829068	43833696	-1	protein_coding
ENSG00000066557	LRRC40	70610488	70671303	-1	protein_coding
ENSG00000067208	EVI5	92974253	93257961	-1	protein_coding
ENSG00000067334	DNTTIP2	94333373	94345474	-1	protein_coding
ENSG00000067533	RRP15	218458629	218511325	1	protein_coding
ENSG00000067606	PRKCZ	1981909	2116834	1	protein_coding
ENSG00000067704	IARS2	220267444	220321380	1	protein_coding
ENSG00000069248	NUP133	229577045	229644103	-1	protein_coding
ENSG00000069275	NUCKS1	205681947	205719404	-1	protein_coding
ENSG00000069424	KCNAB2	6051526	6161253	1	protein_coding
ENSG00000069702	TGFBR3	92145902	92371892	-1	protein_coding
ENSG00000069712	KIAA1107	92632542	92650280	1	protein_coding
ENSG00000069812	HES2	6472478	6484730	-1	protein_coding
ENSG00000070759	TESK2	45809555	45956872	-1	protein_coding
ENSG00000070785	EIF2B3	45316450	45452282	-1	protein_coding
ENSG00000070831	CDC42	22379120	22419437	1	protein_coding
ENSG00000070886	EPHA8	22890057	22930087	1	protein_coding
ENSG00000072694	FCGR2B	161551101	161648444	1	protein_coding
ENSG00000073754	CD5L	157800704	157868046	-1	protein_coding
ENSG00000073756	PTGS2	186640923	186649559	-1	protein_coding
ENSG00000074800	ENO1	8921061	8939308	-1	protein_coding
ENSG00000074964	ARHGEF10L	17866330	18024369	1	protein_coding
ENSG00000075151	EIF4G3	21132963	21503377	-1	protein_coding
ENSG00000075391	RASAL2	178062864	178448644	1	protein_coding
ENSG00000075945	KIFAP3	169890467	170054349	-1	protein_coding
ENSG00000076258	FMO4	171283347	171311223	1	protein_coding
ENSG00000076321	KLHL20	173684080	173755840	1	protein_coding
ENSG00000076356	PLXNA2	208195587	208417665	-1	protein_coding
ENSG00000076864	RAP1GAP	21922708	21995801	-1	protein_coding
ENSG00000077152	UBE2T	202300785	202311108	-1	protein_coding
ENSG00000077157	PPP1R12B	202317827	202561834	1	protein_coding
ENSG00000077254	USP33	78161672	78225537	-1	protein_coding
ENSG00000077522	ACTN2	236849754	236927931	1	protein_coding
ENSG00000077549	CAPZB	19665267	19812066	-1	protein_coding
ENSG00000077585	GPR137B	236305832	236385165	1	protein_coding
ENSG00000078369	GNB1	1716729	1822495	-1	protein_coding
ENSG00000078618	NRD1	52254863	52344477	-1	protein_coding
ENSG00000078808	SDF4	1152288	1167411	-1	protein_coding
ENSG00000078900	TP73	3569084	3652765	1	protein_coding
ENSG00000079277	MKNK1	47023090	47082515	-1	protein_coding
ENSG00000079335	CDC14A	100810584	100985833	1	protein_coding
ENSG00000079739	PGM1	64058947	64125916	1	protein_coding
ENSG00000080910	CFHR2	196788898	196928356	1	protein_coding
ENSG00000080947	CROCCP3	16793931	16825752	-1	pseudogene
ENSG00000081019	RSBN1	114304454	114355098	-1	protein_coding
ENSG00000081026	MAGI3	113933371	114228545	1	protein_coding
ENSG00000081237	PTPRC	198607801	198726545	1	protein_coding
ENSG00000081248	CACNA1S	201008642	201081694	-1	protein_coding
ENSG00000081277	PKP1	201252580	201302121	1	protein_coding
ENSG00000081692	JMJD4	227918126	227923112	-1	protein_coding
ENSG00000081721	DUSP12	161719548	161727028	1	protein_coding
ENSG00000081870	HSPB11	54382247	54411602	-1	protein_coding
ENSG00000081985	IL12RB2	67773047	67862583	1	protein_coding
ENSG00000082482	KCNK2	215179118	215410436	1	protein_coding
ENSG00000082497	SERTAD4	210406144	210419976	1	protein_coding
ENSG00000082512	TRAF5	211499957	211548288	1	protein_coding
ENSG00000083444	PLOD1	11994262	12035595	1	protein_coding
ENSG00000084070	SMAP2	40810522	40888998	1	protein_coding
ENSG00000084072	PPIE	40157854	40229586	1	protein_coding
ENSG00000084073	ZMPSTE24	40723779	40759856	1	protein_coding
ENSG00000084623	EIF3I	32687529	32697205	1	protein_coding
ENSG00000084628	NKAIN1	31652592	31712401	-1	protein_coding
ENSG00000084636	COL16A1	32117848	32169920	-1	protein_coding
ENSG00000084652	TXLNA	32645287	32663886	1	protein_coding
ENSG00000085433	WDR47	109512836	109584850	-1	protein_coding
ENSG00000085465	OVGP1	111956936	111970399	-1	protein_coding
ENSG00000085491	SLC25A24	108676658	108743471	-1	protein_coding
ENSG00000085552	IGSF9	159896829	159915386	-1	protein_coding
ENSG00000085831	TTC39A	51752930	51810788	-1	protein_coding
ENSG00000085832	EPS15	51819935	51985000	-1	protein_coding
ENSG00000085840	ORC1	52838501	52870131	-1	protein_coding
ENSG00000085998	POMGNT1	46654354	46685977	-1	protein_coding
ENSG00000085999	RAD54L	46713360	46744145	1	protein_coding
ENSG00000086015	MAST2	46252659	46501796	1	protein_coding
ENSG00000086619	ERO1LB	236378855	236445319	-1	protein_coding
ENSG00000088035	ALG6	63833261	63904233	1	protein_coding
ENSG00000088280	ASAP3	23755056	23811061	-1	protein_coding
ENSG00000090020	SLC9A1	27425306	27493472	-1	protein_coding
ENSG00000090104	RGS1	192544857	192549161	1	protein_coding
ENSG00000090273	NUDC	27226729	27273353	1	protein_coding
ENSG00000090432	MUL1	20825943	20834654	-1	protein_coding
ENSG00000090621	PABPC4	40026488	40042462	-1	protein_coding
ENSG00000090686	USP48	22004791	22110099	-1	protein_coding
ENSG00000091483	FH	241660903	241683061	-1	protein_coding
ENSG00000092607	TBX15	119425669	119532179	-1	protein_coding
ENSG00000092621	PHGDH	120202421	120286838	1	protein_coding
ENSG00000092847	AGO1	36335409	36395211	1	protein_coding
ENSG00000092850	TEKT2	36549676	36553876	1	protein_coding
ENSG00000092853	CLSPN	36185819	36235568	-1	protein_coding
ENSG00000092969	TGFB2	218519577	218617961	1	protein_coding
ENSG00000092978	GPATCH2	217600334	217804424	-1	protein_coding
ENSG00000094963	FMO2	171154347	171181822	1	protein_coding
ENSG00000094975	SUCO	172501489	172580971	1	protein_coding
ENSG00000097021	ACOT7	6324329	6454451	-1	protein_coding
ENSG00000097033	SH3GLB1	87170259	87213867	1	protein_coding
ENSG00000097046	CDC7	91966408	91991321	1	protein_coding
ENSG00000097096	SYDE2	85622556	85666729	-1	protein_coding
ENSG00000099260	PALMD	100111499	100160097	1	protein_coding
ENSG00000107404	DVL1	1270656	1284730	-1	protein_coding
ENSG00000116128	BCL9	147013182	147098017	1	protein_coding
ENSG00000116132	PRRX1	170631869	170708560	1	protein_coding
ENSG00000116133	DHCR24	55315306	55352891	-1	protein_coding
ENSG00000116138	DNAJC16	15853308	15918874	1	protein_coding
ENSG00000116141	MARK1	220701568	220837803	1	protein_coding
ENSG00000116147	TNR	175284330	175712906	-1	protein_coding
ENSG00000116151	MORN1	2252692	2323146	-1	protein_coding
ENSG00000116157	GPX7	53068044	53074723	1	protein_coding
ENSG00000116161	CACYBP	174968300	174980851	1	protein_coding
ENSG00000116171	SCP2	53392901	53517375	1	protein_coding
ENSG00000116183	PAPPA2	176432307	176814735	1	protein_coding
ENSG00000116191	RALGPS2	178694300	178889238	1	protein_coding
ENSG00000116194	ANGPTL1	178818840	178840187	-1	protein_coding
ENSG00000116198	CEP104	3728645	3773778	-1	protein_coding
ENSG00000116199	FAM20B	178994939	179045697	1	protein_coding
ENSG00000116205	TCEANC2	54519260	54578192	1	protein_coding
ENSG00000116209	TMEM59	54497347	54519177	-1	protein_coding
ENSG00000116212	LRRC42	54411750	54433841	1	protein_coding
ENSG00000116213	WRAP73	3547331	3569325	-1	protein_coding
ENSG00000116218	NPHS2	179519674	179545087	-1	protein_coding
ENSG00000116221	MRPL37	54649714	54691137	1	protein_coding
ENSG00000116237	ICMT	6281253	6296032	-1	protein_coding
ENSG00000116251	RPL22	6241329	6269449	-1	protein_coding
ENSG00000116254	CHD5	6161853	6240183	-1	protein_coding
ENSG00000116260	QSOX1	180123969	180173165	1	protein_coding
ENSG00000116266	STXBP3	109289296	109352148	1	protein_coding
ENSG00000116273	PHF13	6673745	6684093	1	protein_coding
ENSG00000116285	ERRFI1	8064464	8086368	-1	protein_coding
ENSG00000116288	PARK7	8014351	8045565	1	protein_coding
ENSG00000116299	KIAA1324	109656301	109749401	1	protein_coding
ENSG00000116329	OPRD1	29138654	29190208	1	protein_coding
ENSG00000116337	AMPD2	110158726	110174673	1	protein_coding
ENSG00000116350	SRSF4	29474255	29508499	-1	protein_coding
ENSG00000116353	MECR	29519385	29557454	-1	protein_coding
ENSG00000116396	KCNC4	110753965	110825722	1	protein_coding
ENSG00000116406	EDEM3	184659365	184724047	-1	protein_coding
ENSG00000116455	WDR77	111982512	111991998	-1	protein_coding
ENSG00000116459	ATP5F1	111991486	112005395	1	protein_coding
ENSG00000116473	RAP1A	112084840	112259313	1	protein_coding
ENSG00000116478	HDAC1	32757687	32799236	1	protein_coding
ENSG00000116489	CAPZA1	113161795	113214241	1	protein_coding
ENSG00000116497	S100PBP	33282368	33324476	1	protein_coding
ENSG00000116514	RNF19B	33402046	33430286	-1	protein_coding
ENSG00000116521	SCAMP3	155225770	155232221	-1	protein_coding
ENSG00000116525	TRIM62	33611003	33647660	-1	protein_coding
ENSG00000116539	ASH1L	155305059	155532598	-1	protein_coding
ENSG00000116544	DLGAP3	35331037	35395186	-1	protein_coding
ENSG00000116560	SFPQ	35641979	35658749	-1	protein_coding
ENSG00000116574	RHOU	228870824	228882416	1	protein_coding
ENSG00000116580	GON4L	155719508	155829191	-1	protein_coding
ENSG00000116584	ARHGEF2	155916630	155976861	-1	protein_coding
ENSG00000116586	LAMTOR2	156024543	156028301	1	protein_coding
ENSG00000116604	MEF2D	156433519	156470620	-1	protein_coding
ENSG00000116641	DOCK7	62920399	63153969	-1	protein_coding
ENSG00000116649	SRM	11114641	11120081	-1	protein_coding
ENSG00000116652	DLEU2L	64014588	64015405	1	protein_coding
ENSG00000116661	FBXO2	11708424	11715842	-1	protein_coding
ENSG00000116663	FBXO6	11724181	11734411	1	protein_coding
ENSG00000116667	C1orf21	184356192	184598154	1	protein_coding
ENSG00000116668	SWT1	185126212	185260897	1	protein_coding
ENSG00000116670	MAD2L2	11734537	11751707	-1	protein_coding
ENSG00000116675	DNAJC6	65713902	65881552	1	protein_coding
ENSG00000116678	LEPR	65886248	66107242	1	protein_coding
ENSG00000116679	IVNS1ABP	185265520	185286461	-1	protein_coding
ENSG00000116685	KIAA2013	11979648	11986485	-1	protein_coding
ENSG00000116688	MFN2	12040238	12073571	1	protein_coding
ENSG00000116690	PRG4	186265405	186283694	1	protein_coding
ENSG00000116691	MIIP	12079523	12092102	1	protein_coding
ENSG00000116698	SMG7	183441351	183567381	1	protein_coding
ENSG00000116701	NCF2	183524698	183560011	-1	protein_coding
ENSG00000116703	PDC	186412698	186430254	-1	protein_coding
ENSG00000116704	SLC35D1	67465015	67519782	-1	protein_coding
ENSG00000116711	PLA2G4A	186798085	186958113	1	protein_coding
ENSG00000116717	GADD45A	68150744	68154021	1	protein_coding
ENSG00000116721	PRAMEF1	12851546	12856777	1	protein_coding
ENSG00000116726	PRAMEF12	12834984	12838049	1	protein_coding
ENSG00000116729	WLS	68564142	68698803	-1	protein_coding
ENSG00000116731	PRDM2	14026693	14151574	1	protein_coding
ENSG00000116741	RGS2	192778169	192781403	1	protein_coding
ENSG00000116745	RPE65	68894505	68915642	-1	protein_coding
ENSG00000116747	TROVE2	193028552	193060907	1	protein_coding
ENSG00000116748	AMPD1	115215719	115238239	-1	protein_coding
ENSG00000116750	UCHL5	192981380	193029237	-1	protein_coding
ENSG00000116752	BCAS2	115110178	115124260	-1	protein_coding
ENSG00000116754	SRSF11	70671365	70718735	1	protein_coding
ENSG00000116761	CTH	70876901	70905534	1	protein_coding
ENSG00000116771	AGMAT	15898848	15911605	-1	protein_coding
ENSG00000116774	OLFML3	114522063	114524876	1	protein_coding
ENSG00000116783	TNNI3K	74663947	75010112	1	protein_coding
ENSG00000116785	CFHR3	196743925	196763203	1	protein_coding
ENSG00000116786	PLEKHM2	16010827	16061264	1	protein_coding
ENSG00000116791	CRYZ	75171170	75199092	-1	protein_coding
ENSG00000116793	PHTF1	114239453	114302111	-1	protein_coding
ENSG00000116809	ZBTB17	16268364	16302627	-1	protein_coding
ENSG00000116815	CD58	117057157	117113661	-1	protein_coding
ENSG00000116819	TFAP2E	36038971	36060929	1	protein_coding
ENSG00000116824	CD2	117297007	117311850	1	protein_coding
ENSG00000116830	TTF2	117602925	117650075	1	protein_coding
ENSG00000116833	NR5A2	199996730	200146552	1	protein_coding
ENSG00000116852	KIF21B	200938520	200992828	-1	protein_coding
ENSG00000116857	TMEM9	201103900	201140702	-1	protein_coding
ENSG00000116863	ADPRHL2	36554476	36559533	1	protein_coding
ENSG00000116871	MAP7D1	36621180	36646450	1	protein_coding
ENSG00000116874	WARS2	119573839	119683294	-1	protein_coding
ENSG00000116882	HAO2	119911402	119936753	1	protein_coding
ENSG00000116885	OSCP1	36881428	36916086	-1	protein_coding
ENSG00000116898	MRPS15	36921319	36930038	-1	protein_coding
ENSG00000116903	EXOC8	231468480	231473598	-1	protein_coding
ENSG00000116906	GNPAT	231376953	231413719	1	protein_coding
ENSG00000116918	TSNAX	231664399	231702270	1	protein_coding
ENSG00000116922	C1orf109	38147242	38157914	-1	protein_coding
ENSG00000116954	RRAGC	39303870	39325495	-1	protein_coding
ENSG00000116957	TBCE	235530675	235612283	1	protein_coding
ENSG00000116962	NID1	236139130	236228462	-1	protein_coding
ENSG00000116977	LGALS8	236681300	236716281	1	protein_coding
ENSG00000116981	NT5C1A	40124793	40137710	-1	protein_coding
ENSG00000116983	HPCAL4	40144320	40157361	-1	protein_coding
ENSG00000116984	MTR	236958610	237067281	1	protein_coding
ENSG00000116985	BMP8B	40222854	40254533	-1	protein_coding
ENSG00000116990	MYCL	40361098	40367928	-1	protein_coding
ENSG00000116991	SIPA1L2	232533711	232697304	-1	protein_coding
ENSG00000116996	ZP4	238045705	238054094	-1	protein_coding
ENSG00000117000	RLF	40627045	40706593	1	protein_coding
ENSG00000117009	KMO	241695434	241758944	1	protein_coding
ENSG00000117010	ZNF684	40997233	41013841	1	protein_coding
ENSG00000117013	KCNQ4	41249684	41306124	1	protein_coding
ENSG00000117016	RIMS3	41086351	41131329	-1	protein_coding
ENSG00000117020	AKT3	243651535	244014381	-1	protein_coding
ENSG00000117036	ETV3	157090983	157108266	-1	protein_coding
ENSG00000117054	ACADM	76190036	76253260	1	protein_coding
ENSG00000117069	ST6GALNAC5	77333126	77531396	1	protein_coding
ENSG00000117090	SLAMF1	160577890	160617085	-1	protein_coding
ENSG00000117091	CD48	160648536	160681641	-1	protein_coding
ENSG00000117114	LPHN2	81771845	82458120	1	protein_coding
ENSG00000117115	PADI2	17393256	17445948	-1	protein_coding
ENSG00000117118	SDHB	17345217	17380665	-1	protein_coding
ENSG00000117122	MFAP2	17300997	17307330	-1	protein_coding
ENSG00000117133	RPF1	84944942	84963473	1	protein_coding
ENSG00000117139	KDM5B	202696526	202778598	-1	protein_coding
ENSG00000117143	UAP1	162531323	162569627	1	protein_coding
ENSG00000117148	ACTL8	18081808	18153558	1	protein_coding
ENSG00000117151	CTBS	85015289	85040163	-1	protein_coding
ENSG00000117152	RGS4	163038565	163046592	1	protein_coding
ENSG00000117153	KLHL12	202860228	202897764	-1	protein_coding
ENSG00000117154	IGSF21	18434240	18704977	1	protein_coding
ENSG00000117155	SSX2IP	85109390	85156486	-1	protein_coding
ENSG00000117174	ZNHIT6	86115106	86174116	-1	protein_coding
ENSG00000117215	PLA2G2D	20438432	20446050	-1	protein_coding
ENSG00000117222	RBBP5	205055270	205091143	-1	protein_coding
ENSG00000117226	GBP3	89472349	89488577	-1	protein_coding
ENSG00000117228	GBP1	89518002	89531043	-1	protein_coding
ENSG00000117242	PINK1-AS	20969150	20978686	-1	antisense
ENSG00000117245	KIF17	20990507	21044510	-1	protein_coding
ENSG00000117262	GPR89A	145764411	145827103	-1	protein_coding
ENSG00000117266	CDK18	205473723	205501921	1	protein_coding
ENSG00000117280	RAB7L1	205737114	205744588	-1	protein_coding
ENSG00000117281	CD160	145695798	145715614	-1	protein_coding
ENSG00000117289	TXNIP	145438469	145442635	1	protein_coding
ENSG00000117298	ECE1	21543740	21671997	-1	protein_coding
ENSG00000117305	HMGCL	24128375	24165110	-1	protein_coding
ENSG00000117308	GALE	24122089	24127271	-1	protein_coding
ENSG00000117318	ID3	23884409	23886285	-1	protein_coding
ENSG00000117322	CR2	207627575	207663240	1	protein_coding
ENSG00000117335	CD46	207925402	207968858	1	protein_coding
ENSG00000117360	PRPF3	150293925	150325671	1	protein_coding
ENSG00000117362	APH1A	150237804	150241980	-1	protein_coding
ENSG00000117385	LEPRE1	43212006	43232755	-1	protein_coding
ENSG00000117394	SLC2A1	43391052	43424530	-1	protein_coding
ENSG00000117395	EBNA1BP2	43629846	43736607	-1	protein_coding
ENSG00000117399	CDC20	43824626	43828874	1	protein_coding
ENSG00000117400	MPL	43803478	43818443	1	protein_coding
ENSG00000117407	ARTN	44398992	44402913	1	protein_coding
ENSG00000117408	IPO13	44412611	44433694	1	protein_coding
ENSG00000117410	ATP6V0B	44440159	44443967	1	protein_coding
ENSG00000117411	B4GALT2	44444615	44456840	1	protein_coding
ENSG00000117419	ERI3	44686742	44820932	-1	protein_coding
ENSG00000117425	PTCH2	45285516	45308735	-1	protein_coding
ENSG00000117448	AKR1A1	46016215	46035721	1	protein_coding
ENSG00000117450	PRDX1	45976708	45988719	-1	protein_coding
ENSG00000117461	PIK3R3	46505812	46642160	-1	protein_coding
ENSG00000117472	TSPAN1	46640745	46651630	1	protein_coding
ENSG00000117475	BLZF1	169337208	169365778	1	protein_coding
ENSG00000117477	CCDC181	169364108	169429907	-1	protein_coding
ENSG00000117479	SLC19A2	169433147	169455241	-1	protein_coding
ENSG00000117480	FAAH	46859937	46879520	1	protein_coding
ENSG00000117481	NSUN4	46805849	46830824	1	protein_coding
ENSG00000117500	TMED5	93615299	93646285	-1	protein_coding
ENSG00000117501	MROH9	170904612	171033906	1	protein_coding
ENSG00000117505	DR1	93811445	93835055	1	protein_coding
ENSG00000117507	FMO6P	171106879	171130707	1	protein_coding
ENSG00000117519	CNN3	95362507	95392834	-1	protein_coding
ENSG00000117523	PRRC2C	171454651	171562650	1	protein_coding
ENSG00000117525	F3	94994781	95007356	-1	protein_coding
ENSG00000117528	ABCD3	94883933	94984222	1	protein_coding
ENSG00000117533	VAMP4	171669300	171711387	-1	protein_coding
ENSG00000117543	DPH5	101455179	101491644	-1	protein_coding
ENSG00000117560	FASLG	172628154	172636014	1	protein_coding
ENSG00000117569	PTBP2	97187221	97289294	1	protein_coding
ENSG00000117586	TNFSF4	173152873	173176452	-1	protein_coding
ENSG00000117592	PRDX6	173446405	173457946	1	protein_coding
ENSG00000117593	DARS2	173793641	173827684	1	protein_coding
ENSG00000117594	HSD11B1	209859510	209908295	1	protein_coding
ENSG00000117595	IRF6	209959036	209979465	-1	protein_coding
ENSG00000117597	DIEXF	210001352	210030910	1	protein_coding
ENSG00000117598	LPPR5	99355806	99470588	-1	protein_coding
ENSG00000117600	LPPR4	99729509	99775146	1	protein_coding
ENSG00000117601	SERPINC1	173872947	173886516	-1	protein_coding
ENSG00000117602	RCAN3	24829387	24867530	1	protein_coding
ENSG00000117614	SYF2	25549170	25558993	-1	protein_coding
ENSG00000117616	C1orf63	25568728	25664704	-1	protein_coding
ENSG00000117620	SLC35A3	100435345	100492535	1	protein_coding
ENSG00000117625	RCOR3	211431719	211489727	1	protein_coding
ENSG00000117632	STMN1	26210672	26233482	-1	protein_coding
ENSG00000117640	MTFR1L	26145131	26159432	1	protein_coding
ENSG00000117643	MAN1C1	25943959	26112698	1	protein_coding
ENSG00000117650	NEK2	211836114	211848960	-1	protein_coding
ENSG00000117676	RPS6KA1	26856252	26901521	1	protein_coding
ENSG00000117682	DHDDS	26758773	26797785	1	protein_coding
ENSG00000117691	NENF	212606229	212619714	1	protein_coding
ENSG00000117697	NSL1	212899495	212965124	-1	protein_coding
ENSG00000117707	PROX1	214156524	214214595	1	protein_coding
ENSG00000117713	ARID1A	27022524	27108595	1	protein_coding
ENSG00000117724	CENPF	214776538	214837931	1	protein_coding
ENSG00000117748	RPA2	28218035	28241257	-1	protein_coding
ENSG00000117751	PPP1R8	28157289	28178187	1	protein_coding
ENSG00000117758	STX12	28099694	28150963	1	protein_coding
ENSG00000117791	MARC2	220921567	220958150	1	protein_coding
ENSG00000117834	SLC5A9	48688357	48714316	1	protein_coding
ENSG00000117859	OSBPL9	52042851	52254889	1	protein_coding
ENSG00000117862	TXNDC12	52485803	52521843	-1	protein_coding
ENSG00000118193	KIF14	200520628	200589862	-1	protein_coding
ENSG00000118194	TNNT2	201328136	201346890	-1	protein_coding
ENSG00000118197	DDX59	200593024	200639097	-1	protein_coding
ENSG00000118200	CAMSAP2	200708686	200829832	1	protein_coding
ENSG00000118217	ATF6	161736084	161933860	1	protein_coding
ENSG00000118292	C1orf54	150240600	150253327	1	protein_coding
ENSG00000118298	CA14	150229554	150237478	1	protein_coding
ENSG00000118454	ANKRD13C	70726271	70820417	-1	protein_coding
ENSG00000118473	SGIP1	66999066	67213982	1	protein_coding
