ensembl_gene_id	external_gene_name	start_position	end_position	strand	gene_biotype	exon_chrom_start	exon_chrom_end
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197616185	197616244
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197627430	197627480
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197574612	197576304
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197744670	197744763
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197611903	197611951
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197704436	197704659
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197744269	197744556
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197703139	197704926
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197743617	197743737
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197704380	197704926
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197744482	197744826
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197704788	197704926
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197704716	197704767
ENSG00000221879	MRPS21P3	197332947	197333208	1	pseudogene	197332947	197333208
ENSG00000233040	FAM204BP	197715881	197716581	-1	pseudogene	197715881	197716581
