ensg	symbol	chr	start	end	strand	status	type	entrezID	HUGO	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	leadSNPs	interval
ENSG00000121281	ADCY7	16	50280048	50352046	1	KNOWN	protein_coding	113	ADCY7	1	16.29	0	NA	NA	NA	NA	2.9e-09	rs9922362	40
ENSG00000166164	BRD7	16	50347398	50402845	-1	KNOWN	protein_coding	29117	BRD7	0	0	16	1.96590335828859e-19	0.00033387446	Whole_Blood	-	2.3e-12	rs4643314:rs8047812	40
ENSG00000167207	NOD2	16	50727514	50766988	1	KNOWN	protein_coding	64127	NOD2	0	0	25	6.30809218846014e-19	0.00033387446	Whole_Blood:Liver	-	1.3e-58	rs1109863:rs7194886:rs2076756:rs1077861	40
ENSG00000161405	IKZF3	17	37921198	38020441	-1	KNOWN	protein_coding	22806	IKZF3	1	13.87	0	NA	NA	NA	NA	1.3e-08	rs2872507	42
ENSG00000186075	ZPBP2	17	38024417	38034149	1	KNOWN	protein_coding	124626	ZPBP2	1	13.51	0	NA	NA	NA	NA	NA	rs2872507	42
ENSG00000073605	GSDMB	17	38060848	38076107	-1	KNOWN	protein_coding	55876	GSDMB	1	23.1	112	5.26410266047883e-30	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood:Colon_Transverse	-	1.5e-09	rs2872507	42
ENSG00000172057	ORMDL3	17	38077294	38083854	-1	KNOWN	protein_coding	94103	ORMDL3	0	0	112	1.13308399004146e-30	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood	-	1.5e-09	rs2872507	42
ENSG00000167914	GSDMA	17	38119226	38134019	1	KNOWN	protein_coding	284110	GSDMA	0	0	3	1.05112651916149e-07	0.000674021	Colon_Transverse	-	NA	rs2872507	42
ENSG00000126581	BECN1	17	40962152	40985367	-1	KNOWN	protein_coding	8678	BECN1	0	0	3	1.42842901893699e-05	0.04702299	Cells_EBV-transformed_lymphocytes	+	NA	rs11871801	43
ENSG00000090339	ICAM1	19	10381511	10397291	1	KNOWN	protein_coding	3383	ICAM1	0	0	4	2.1281053752179e-09	0.00033387446	Whole_Blood	+	NA	rs12720356:rs11879191	46
ENSG00000105371	ICAM4	19	10397643	10399198	1	KNOWN	protein_coding	3386	ICAM4	0	0	11	4.62781511792941e-10	0.00033387446	Whole_Blood	+	9.2e-10	rs12720356	46
ENSG00000105376	ICAM5	19	10400657	10407454	1	KNOWN	protein_coding	7087	ICAM5	0	0	4	2.50998730944066e-08	0.0011756544	Whole_Blood	+	9.2e-10	rs12720356	46
ENSG00000105397	TYK2	19	10461209	10491352	-1	KNOWN	protein_coding	7297	TYK2	1	28.6	0	NA	NA	NA	NA	9.2e-10	rs12720356	46
ENSG00000065989	PDE4A	19	10527449	10580305	1	KNOWN	protein_coding	5141	PDE4A	2	15.39	0	NA	NA	NA	NA	2.5e-07	rs12720356:rs11879191	46
ENSG00000142233	NTN5	19	49164664	49176338	-1	KNOWN	protein_coding	126147	NTN5	0	0	10	3.34804739352948e-06	0.01705586	Whole_Blood:Colon_Transverse	+	8.6e-10	rs281379	47
ENSG00000176920	FUT2	19	49199228	49209207	1	KNOWN	protein_coding	2524	FUT2	2	37	60	2.28913330056867e-11	0.000674021	Colon_Transverse	-	8.6e-10	rs281379	47
ENSG00000105538	RASIP1	19	49223844	49243978	-1	KNOWN	protein_coding	54922	RASIP1	1	32	6	4.84702572525578e-07	0.007920821	Colon_Sigmoid	+	8.6e-10	rs281379	47
ENSG00000173209	AHSA2	2	61404553	61418338	1	KNOWN	protein_coding	130872	AHSA2	0	0	23	1.51072472941564e-18	0.00033387446	Whole_Blood:Colon_Sigmoid:Colon_Transverse	-	6.6e-09	rs10181042	9
ENSG00000115604	IL18R1	2	102927989	103015218	1	KNOWN	protein_coding	8809	IL18R1	0	0	39	4.66803274258679e-06	0.00090001296	Whole_Blood	-	2.2e-12	rs2058660	10
ENSG00000115607	IL18RAP	2	103035149	103069025	1	KNOWN	protein_coding	8807	IL18RAP	0	0	269	1.63446444799399e-31	0.00033387446	Whole_Blood	+	1.6e-12	rs12712135:rs2058660:rs6724109	10
ENSG00000135899	SP110	2	231032009	231090444	-1	KNOWN	protein_coding	3431	SP110	0	0	1	5.37082571307673e-06	0.03900372	Cells_EBV-transformed_lymphocytes	-	4.5e-08	rs7423615	11
ENSG00000079263	SP140	2	231067826	231223762	1	KNOWN	protein_coding	11262	SP140	0	0	36	6.79593029984323e-11	0.0009416233	Cells_EBV-transformed_lymphocytes	-	4.6e-09	rs7423615	11
ENSG00000197457	STMN3	20	62271061	62284780	-1	KNOWN	protein_coding	50861	STMN3	0	0	99	1.10930462059718e-08	0.00090001296	Whole_Blood	+	2.5e-12	rs310672:rs909334:rs2297441:rs4809330	48
ENSG00000243509	TNFRSF6B	20	62328021	62330037	1	KNOWN	protein_coding	8771	TNFRSF6B	1	14.88	0	NA	NA	NA	NA	NA	rs2297441	48
ENSG00000185651	UBE2L3	22	21903736	21978323	1	KNOWN	protein_coding	7332	UBE2L3	0	0	91	6.48787792987533e-09	0.00062095653	Whole_Blood	+	6.3e-13	rs181359	51
ENSG00000161179	YDJC	22	21982378	21984353	-1	KNOWN	protein_coding	150223	YDJC	1	24.8	0	NA	NA	NA	NA	8.2e-12	rs181359	51
ENSG00000161180	CCDC116	22	21987005	21991616	1	KNOWN	protein_coding	164592	CCDC116	0	0	93	4.82982941550583e-14	0.0011041145	Colon_Sigmoid	-	6.3e-13	rs181359	51
ENSG00000225697	SLC26A6	3	48663156	48672926	-1	KNOWN	protein_coding	65010	SLC26A6	1	25.6	64	1.45994511048584e-06	0.0037192563	Cells_EBV-transformed_lymphocytes	+	3.4e-08	rs11719291	13
ENSG00000008300	CELSR3	3	48673902	48700348	-1	KNOWN	protein_coding	1951	CELSR3	2	21.9	0	NA	NA	NA	NA	2.4e-05	rs11719291	13
ENSG00000213672	NCKIPSD	3	48701364	48723797	-1	KNOWN	protein_coding	51517	NCKIPSD	0	0	81	2.05694011089562e-09	0.00033387446	Whole_Blood:Colon_Transverse	+	2.1e-14	rs11719291:rs3924462:rs3749237	13
ENSG00000178252	WDR6	3	49044495	49053386	1	KNOWN	protein_coding	11180	WDR6	0	0	282	7.76199012303105e-13	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood:Colon_Transverse:Liver	+	2.1e-14	rs11719291:rs3924462:rs3749237	13
ENSG00000172046	USP19	3	49145479	49158371	-1	KNOWN	protein_coding	10869	USP19	1	25.4	0	NA	NA	NA	NA	NA	rs11719291	13
ENSG00000114316	USP4	3	49315264	49378145	-1	KNOWN	protein_coding	7375	USP4	1	13.72	0	NA	NA	NA	NA	NA	rs4410472	13
ENSG00000233276	GPX1	3	49394609	49396033	-1	KNOWN	protein_coding	2876	GPX1	1	19.43	16	1.24771971112446e-05	0.028349781	Colon_Sigmoid	-	6.8e-07	rs3197999:rs2240326	13
ENSG00000145020	AMT	3	49454211	49460186	-1	KNOWN	protein_coding	275	AMT	1	16.22	135	6.40869092436697e-11	0.00033387446	Whole_Blood:Colon_Transverse	+	2.1e-14	rs3924462:rs3197999:rs3749237	13
ENSG00000164061	BSN	3	49591922	49708978	1	KNOWN	protein_coding	8927	BSN	1	16.61	0	NA	NA	NA	NA	1.5e-16	rs3197999	13
ENSG00000173531	MST1	3	49721380	49726934	-1	KNOWN	protein_coding	4485	MST1	2	25.5	0	NA	NA	NA	NA	6.2e-17	rs3197999	13
ENSG00000164068	RNF123	3	49726932	49758962	1	KNOWN	protein_coding	63891	RNF123	2	14.39	65	1.46896196011115e-06	0.005131239	Colon_Sigmoid	-	1.2e-11	rs3749237:rs2352974	13
ENSG00000182179	UBA7	3	49842640	49851379	-1	KNOWN	protein_coding	7318	UBA7	0	0	394	5.8904819938626e-22	0.00033387446	Whole_Blood:Colon_Transverse	+	6.2e-17	rs3197999:rs3749237:rs2352974:rs2240326	13
ENSG00000004534	RBM6	3	49977440	50137478	1	KNOWN	protein_coding	10180	RBM6	0	0	402	5.12291203216984e-46	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood:Colon_Sigmoid:Colon_Transverse:Liver	+	6.2e-17	rs4410472:rs3924462:rs3197999:rs3749237:rs2352974:rs2240326	13
ENSG00000114738	MAPKAPK3	3	50648951	50686720	1	KNOWN	protein_coding	7867	MAPKAPK3	0	0	1	2.5233694111903e-05	0.00033387446	Whole_Blood	-	NA	rs2352974:rs2240326	13
ENSG00000164307	ERAP1	5	96096521	96143803	-1	KNOWN	protein_coding	51752	ERAP1	0	0	4	1.2041605582248e-06	0.00033387446	Whole_Blood	+	5.1e-06	rs2549794	15
ENSG00000164308	ERAP2	5	96211643	96255420	1	KNOWN	protein_coding	64167	ERAP2	3	15.73	247	2.99977342426281e-111	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood:Colon_Sigmoid:Colon_Transverse:Liver	-	4.5e-11	rs2549794:rs18059	15
ENSG00000164398	ACSL6	5	131142683	131347936	-1	KNOWN	protein_coding	23305	ACSL6	0	0	70	4.62583119338006e-07	0.0011041145	Colon_Sigmoid	-	5.3e-16	rs11743851:rs17674015:rs3749756:rs7705189:rs2073643:rs12521868	16
ENSG00000197208	SLC22A4	5	131630136	131679899	1	KNOWN	protein_coding	6583	SLC22A4	1	12.57	0	NA	NA	NA	NA	7e-07	rs11242110	16
ENSG00000197375	SLC22A5	5	131705444	131731306	1	KNOWN	protein_coding	6584	SLC22A5	0	0	225	1.16532962184362e-21	0.00033387446	Cells_EBV-transformed_lymphocytes:Whole_Blood:Colon_Transverse	-	1.4e-20	rs11743851:rs11746464:rs17674015:rs3749756:rs7705189:rs156109:rs2073643:rs6897597:rs11242110:rs2285673:rs12521868:rs11745587:rs2548993	16
ENSG00000197536	C5orf56	5	131746328	131811736	1	KNOWN	protein_coding	441108	C5orf56	0	0	19	3.28241052109425e-07	0.0017031708	Whole_Blood	+	9.1e-09	rs2070727	16
ENSG00000131507	NDFIP1	5	141488070	141534005	1	KNOWN	protein_coding	80762	NDFIP1	0	0	57	4.94814873292084e-07	0.0100147175	Whole_Blood	-	4.2e-09	rs11739961	17
ENSG00000237693	IRGM	5	150226085	150280298	1	KNOWN	protein_coding	345611	IRGM	0	0	108	2.15257123608858e-08	0.00033387446	Whole_Blood	-	7.8e-19	rs9324656:rs7714584	18
ENSG00000071242	RPS6KA2	6	166822852	167319939	-1	KNOWN	protein_coding	6196	RPS6KA2	0	0	3	7.83380756608755e-07	0.00033387446	Whole_Blood	-	2.7e-07	rs415890	22
ENSG00000026297	RNASET2	6	167342992	167370679	-1	KNOWN	protein_coding	8635	RNASET2	0	0	358	4.70796386881017e-46	0.00033387446	Whole_Blood	-	2.5e-12	rs9355610:rs415890:rs12203510	22
ENSG00000213066	FGFR1OP	6	167412670	167466201	1	KNOWN	protein_coding	11116	FGFR1OP	0	0	9	6.77150920948072e-08	0.00090001296	Whole_Blood	+	1.5e-07	rs12203510	22
ENSG00000096968	JAK2	9	4985033	5128183	1	KNOWN	protein_coding	3717	JAK2	1	15.07	0	NA	NA	NA	NA	5.2e-09	rs12347727	26
ENSG00000181634	TNFSF15	9	117546915	117568406	-1	KNOWN	protein_coding	9966	TNFSF15	0	0	16	1.08366425210688e-08	0.00033387446	Whole_Blood	-	2.3e-14	rs3810936:rs7040029	27
ENSG00000213221	DNLZ	9	139253932	139258241	-1	KNOWN	protein_coding	728489	DNLZ	0	0	1	7.8229105914953e-08	0.00033387446	Whole_Blood	-	NA	rs4077515:rs8413	28
ENSG00000187796	CARD9	9	139256355	139268133	-1	KNOWN	protein_coding	64170	CARD9	1	13.11	154	6.32798958799663e-19	0.00033387446	Whole_Blood	+	4.4e-19	rs4077515:rs563:rs10448340:rs8413	28
ENSG00000165684	SNAPC4	9	139270029	139293249	-1	KNOWN	protein_coding	6621	SNAPC4	1	20.2	5	1.77696915949258e-06	0.00033387446	Whole_Blood	+	3.5e-18	rs4077515:rs17567909	28
ENSG00000165689	SDCCAG3	9	139296377	139305061	-1	KNOWN	protein_coding	10807	SDCCAG3	0	0	121	3.0647801049958e-15	0.00033387446	Whole_Blood:Colon_Transverse	-	4.4e-19	rs4077515:rs563:rs10448340:rs8413	28
ENSG00000165688	PMPCA	9	139305110	139318213	1	KNOWN	protein_coding	23203	PMPCA	0	0	10	1.08530017336929e-07	0.00978703	Liver	+	1.3e-13	rs4077515:rs563:rs10448340:rs8413	28
ENSG00000148384	INPP5E	9	139323071	139334274	-1	KNOWN	protein_coding	56623	INPP5E	1	16.89	8	2.4500729227131e-06	0.0196488	Cells_EBV-transformed_lymphocytes:Whole_Blood:Colon_Sigmoid	-	7.4e-11	rs4077515:rs10448340:rs8413	28
ENSG00000148396	SEC16A	9	139334549	139372141	-1	KNOWN	protein_coding	9919	SEC16A	1	21.8	154	2.36228208430078e-27	0.00033387446	Whole_Blood:Liver	-	4.4e-19	rs4077515:rs563:rs10448340:rs8413	28
ENSG00000196366	C9orf163	9	139377947	139380518	1	KNOWN	protein_coding	158055	C9orf163	1	22.1	0	NA	NA	NA	NA	NA	rs10448340	28
