chr	bp	p
1	67906853	1.4e-07
1	67912259	1.1e-07
1	67916910	8e-05
1	67959033	0.0016
1	67962150	2.3e-05
1	70689860	0.066
1	70992015	0.037
1	70995562	2.6e-05
1	71007926	5.3e-05
1	71026261	0.00014
1	71590877	0.00099
1	72185216	0.21
1	72531473	0.0086
1	74019696	0.91
1	77195164	0.0043
1	78284211	0.069
1	78433531	0.53
1	78726419	1.1e-05
1	78735723	4e-05
1	78815799	0.00083
1	80082511	0.014
1	80131994	0.0032
1	80281288	0.023
1	81796081	0.22
1	82869015	0.00038
1	88232116	0.00083
1	88372202	0.035
1	89269340	0.097
1	89388944	0.0044
1	90006887	0.21
1	92218245	0.72
1	92808334	0.00062
1	92933626	0.008
1	93400349	6.1e-05
1	93473150	0.00016
1	93478970	0.00013
1	93481640	6.3e-05
1	93627727	0.00054
1	93688819	0.0069
1	93788740	0.0016
1	95240198	0.004
1	96702695	0.62
1	96893000	0.067
1	99326134	0.031
1	100316589	0.17
1	101543389	0.6
1	101708752	0.065
1	105436486	0.012
1	105455991	0.0036
1	108184424	0.25
1	108445371	0.027
1	109944078	0.49
1	111260116	0.029
1	111302136	0.094
1	114092306	0.00036
1	114303808	5e-09
1	114377568	4.5e-09
1	114449662	4.5e-05
1	114471583	2.5e-06
1	114475350	2.8e-06
1	114525636	0.0013
1	114529760	0.01
1	114532457	7.7e-06
1	114602971	0.0023
1	114664905	0.00022
1	115556146	0.16
1	117080166	0.59
1	117638270	0.0016
1	117845032	0.19
1	118014907	0.004
1	118909283	0.0099
1	118914520	0.018
1	120123422	0.052
1	120455586	0.0003
1	120464165	7e-05
1	120480709	0.00016
1	120525554	0.0023
1	145428400	0.68
1	145561594	0.084
1	146503841	0.0052
1	146528521	0.13
1	146660447	0.014
1	146751272	0.037
1	149860372	0.0068
1	150287884	0.068
1	150679358	0.03
1	151327376	0.00065
1	152880672	0.85
1	153706699	0.31
1	154426970	0.003
1	154464945	0.00021
1	154495697	0.00027
1	155006999	0.0054
1	155068748	5.5e-06
1	155074903	6.2e-06
1	155080090	3.2e-06
1	155081940	3.9e-06
1	155082298	4.9e-06
1	155095158	8.8e-07
1	155130391	3.9e-06
1	155135335	4.6e-06
1	155140648	4.2e-06
1	155142210	4e-06
1	155149718	0.00016
1	155162067	3.2e-06
1	155172379	1.5e-06
1	155175892	2.2e-06
1	155194980	1.1e-06
1	155197462	7.8e-07
1	155201064	4.2e-07
1	155206341	5.7e-07
1	155213124	6.4e-07
1	155218446	6.6e-09
1	155230131	1.3e-09
1	155232074	1.6e-09
1	155241361	1.8e-09
1	155248575	1.5e-09
1	155253583	1.5e-09
1	155255837	1.5e-09
1	155257492	1.8e-09
1	155260096	1.8e-09
1	155260350	2.5e-09
1	155260383	2.2e-09
1	155262613	3e-09
1	155273869	5.5e-09
1	155274960	5.8e-09
1	155279482	5.3e-09
1	155282829	1.9e-08
1	155289545	1.1e-08
1	155322142	2.6e-08
1	155345043	5.9e-08
1	155372672	3e-08
1	155389688	6.1e-08
1	155407096	5.8e-08
1	155412037	2.8e-07
1	155412930	3.2e-07
1	155413304	8.2e-08
1	155424065	1.2e-07
1	155433942	2.7e-08
1	155473356	4.1e-08
1	155478897	4.5e-08
1	155505967	4e-07
1	155508882	4.3e-08
1	155527013	2.9e-07
1	155618630	2.4e-07
1	155625602	2e-07
1	155630752	2.5e-07
1	155652081	2.3e-07
1	155658940	1.2e-06
1	155688580	5.1e-09
1	155713650	3.7e-08
1	155735012	5.6e-08
1	155787867	4.6e-08
1	155822971	6.2e-09
1	155829511	4.4e-08
1	155850558	4.8e-08
1	155852123	4.3e-08
1	155860091	4.3e-07
1	155862966	4e-07
1	155868625	2.9e-08
1	155873314	8e-07
1	155877029	2.4e-08
1	155878732	9.2e-07
1	155880159	1.3e-08
1	155880391	1.4e-08
1	155891045	4.3e-07
1	155903408	3.9e-07
1	155914988	3.6e-08
1	155927752	3e-06
1	155931368	3.9e-07
1	155935244	4.1e-08
1	155940948	4e-08
1	155947875	9.2e-08
1	155951502	3.5e-08
1	155959303	5.1e-08
1	155978725	6.1e-08
1	155983648	3.1e-05
1	155993456	3e-07
1	157718645	0.2
1	160652476	0.029
1	160770515	0.0021
1	160827227	6.4e-07
1	160827379	6.6e-07
1	160828285	6.3e-07
1	160828602	6.7e-07
1	160830268	6.1e-07
1	160832646	1.2e-06
1	160832799	1.4e-06
1	160832861	1.3e-06
1	160833526	1.5e-06
1	160835583	1.2e-06
1	160843080	1.8e-05
1	160844696	2e-05
1	160844745	2.1e-05
1	160846284	1.4e-05
1	160847617	1.5e-05
1	160849082	1.7e-05
1	160850280	1.8e-05
1	160852046	2.4e-05
1	160854445	1.8e-05
1	160856076	1.2e-05
1	161184875	0.00055
1	161357471	0.072
1	161457416	0.0012
1	161472158	1.4e-05
1	162430009	0.89
1	162867710	0.0019
1	164995713	0.00011
1	165013535	0.00016
1	167427247	0.00099
1	167613012	0.6
1	167778144	0.038
1	167778843	0.14
1	168235648	0.12
1	168982919	0.0005
1	169565346	0.0073
1	171808405	0.14
1	172745284	0.0046
1	172795995	0.00094
1	172810806	8e-08
1	172826163	1.6e-13
1	172827031	1.2e-13
1	172831286	5.4e-12
1	172844352	5.4e-15
1	172852403	1.7e-15
1	172853460	1.5e-15
1	172858580	1.6e-06
1	172861182	2.1e-15
1	172862234	1.9e-15
1	172862939	2.1e-15
1	172863948	2.6e-15
1	172886500	2.5e-06
1	172898377	4.8e-05
1	172913577	1.1e-05
1	172914284	4.1e-06
1	172921727	4.4e-06
1	172930064	0.0001
1	173187775	0.0084
1	173383213	0.00038
1	173408317	0.0017
1	175169101	0.77
1	176975445	0.042
1	177015215	0.054
1	179726432	0.041
1	179972726	0.00066
1	180043507	0.00045
1	180092518	0.0024
1	182387856	0.78
1	183821464	0.11
1	185147274	0.27
1	185347488	0.0087
1	186204020	0.081
1	186848093	0.0014
1	186858135	0.00048
1	186873704	0.00015
1	186967702	0.0023
1	188098441	0.13
1	189034234	0.016
1	189307394	0.014
1	190849399	0.7
1	194324826	0.42
1	196331833	0.008
1	197342725	7.8e-07
1	197343763	6.2e-07
1	197344461	6.2e-07
1	197363948	4.1e-07
1	197368281	4.2e-07
1	197372250	3.4e-07
1	197372437	3.3e-07
1	197382056	3.2e-07
1	197512404	1.1e-05
1	197559324	1e-05
1	197562511	9e-06
1	197566842	1.7e-08
1	197591406	0.00081
1	197599030	5.2e-06
1	197611682	7.3e-06
1	197631141	2.5e-06
1	197638716	7.5e-06
1	197645449	1e-05
1	197671115	3.7e-06
1	197689967	1.8e-08
1	197701992	3.5e-06
1	197702401	1.1e-06
1	197727642	4.9e-09
1	197743506	1.8e-06
1	197785420	9e-06
1	197788562	9.5e-06
1	197810847	1.1e-05
1	197811282	9.2e-06
1	197812259	1.5e-05
1	197812669	1.4e-05
1	197813558	1.4e-05
1	197814607	0.00017
1	200046275	0.027
1	200369696	0.0024
1	200395746	0.095
1	200859413	0.29
1	200877562	1.6e-07
1	200881595	2.7e-07
1	200886891	5.4e-06
1	200893050	0.00028
1	200932305	3.2e-05
1	200935866	1.6e-06
1	200957032	1.8e-06
1	200960307	1.2e-06
1	200963825	2.4e-06
1	200972454	4.4e-06
1	200980698	2e-05
1	200984022	1.8e-05
1	200984480	6.7e-06
1	200987798	2.6e-05
1	200998531	9.2e-06
1	201002173	5.2e-06
1	201005502	2.5e-05
1	201020727	8.6e-06
1	201887721	0.15
1	203365232	0.052
1	204777269	0.0045
1	204895216	0.87
1	205369075	0.013
1	206939904	8.3e-09
1	206959527	0.00061
1	206994725	2.9e-05
1	207192180	0.02
1	208195516	0.0017
1	212159272	0.0037
1	212416078	0.036
1	212683888	0.34
1	212913168	0.00049
1	212925361	0.00092
1	212925429	5.2e-05
1	212972599	0.00016
1	214367093	0.014
1	214469508	0.42
1	214917119	0.11
1	217207629	0.032
1	217335795	0.013
1	219586415	0.00032
1	219588803	0.00027
1	219641900	0.0047
1	220542973	0.00011
1	221228243	0.0012
1	224045479	0.49
1	224331779	0.15
1	224639083	0.073
1	226165299	0.017
1	226207601	0.012
1	226385623	4.2e-05
1	226392595	5.6e-05
1	226755971	0.0016
1	227642730	0.044
1	228183662	0.00038
1	228785805	0.0052
1	230867887	0.24
1	231162072	0.73
1	232692908	0.18
1	233182257	0.0021
1	233188011	0.0017
1	233411878	0.025
1	234738338	0.00013
1	235590559	0.0018
1	235766162	0.86
1	236611094	0.00036
1	238952309	0.011
1	240118265	0.12
1	242727483	0.00079
1	242739083	0.0033
1	244194239	0.22
1	244988406	0.071
1	245122648	0.014
1	245490691	0.038
1	245556857	0.49
1	247769592	0.00062
1	247782600	0.0012
1	248069912	0.97
1	248249895	0.16
1	248393205	0.0039
1	248550894	0.078
1	248577691	0.02
2	2004859	0.6
2	2606830	0.0022
2	3764796	0.3
2	5268671	0.036
2	5503200	0.00015
2	5745057	0.073
2	6352799	0.0017
2	6401909	0.01
2	7525664	0.0006
2	8290837	0.005
2	9095067	0.055
2	9133569	0.91
2	10217952	0.00015
2	10229911	0.042
2	10927345	0.0012
2	12580976	0.0077
2	12685921	0.00054
2	12969893	0.31
2	16137572	0.00015
2	17117170	0.019
2	17137705	0.06
2	18122198	0.75
2	18247868	0.0027
2	18661220	0.22
2	19184369	0.01
2	19409407	0.00064
2	19426953	0.00069
2	20316478	0.00014
2	23506782	0.1
2	24826619	0.0021
2	25046090	0.037
2	25118885	0.013
2	25491056	1.7e-08
2	25492467	1.4e-08
2	27345484	0.2
2	28523834	4.4e-05
2	28629343	0.00064
2	28636740	0.00012
2	28667818	1.8e-05
2	29743733	0.0017
2	30179846	0.97
2	31027576	0.61
2	33202098	0.087
2	33557974	0.0051
2	34049816	0.0002
2	34055724	0.00019
2	36420568	0.0015
2	36436885	0.00034
2	37757330	0.0079
2	38066107	0.025
2	38749920	0.16
2	40582349	0.00099
2	42366012	0.2
2	42868673	0.042
2	43359127	0.0023
2	43460514	8.2e-06
2	43462822	9e-06
2	43466619	0.00012
2	43470408	9.2e-06
2	43483044	2.1e-06
2	43489313	2.5e-06
2	43494177	2.1e-05
2	43521167	6.9e-07
2	43526386	8e-07
2	43528377	9.1e-07
2	43572047	7.4e-05
2	43576997	2.4e-06
2	43632476	8.3e-06
2	43641627	0.00037
2	43666991	7.9e-06
2	43669851	8e-06
2	43689071	5.2e-06
2	43705265	3.8e-06
2	43705286	4e-06
2	43706002	4.5e-06
2	43732823	1.6e-06
2	43733509	2e-06
2	43735713	2.4e-06
2	43745520	1.6e-06
2	43748983	1.9e-06
2	43749436	4.9e-06
2	43751480	3.7e-06
2	43752548	1.7e-06
2	43758199	1.5e-06
2	43761299	2e-06
2	43764442	6.1e-06
2	43806918	7.7e-08
2	43807090	1.4e-07
2	43809248	2.1e-07
2	43812317	1.4e-07
2	43819139	2.6e-07
2	43831150	4e-07
2	43833258	4e-07
2	43841269	3.7e-07
2	43844833	2.6e-07
2	43845329	1.5e-07
2	43846553	2.3e-07
2	43942969	0.051
2	44070780	0.01
2	46163200	0.65
2	46763587	0.96
2	47310103	0.093
2	48318158	0.0022
2	48343949	0.0002
2	48356453	0.0015
2	48400165	0.00042
2	52827387	0.23
2	53405434	0.027
2	53410123	0.0082
2	54894649	0.0056
2	55850750	0.0029
2	56034163	0.0003
2	56111822	0.0017
2	56539745	0.034
2	57104659	0.36
2	60030987	0.093
2	60592027	0.29
2	61077817	1e-06
2	61112552	1.8e-06
2	61118113	1.7e-06
2	61118739	2.2e-06
2	61122973	2.6e-06
2	61126664	2.1e-06
2	61133793	3.7e-06
2	61173941	5.7e-06
2	61178171	6.4e-06
2	61184651	1.9e-07
2	61186829	7.2e-09
2	61216165	6.4e-06
2	61217542	4.5e-06
2	61220015	2.2e-06
2	61223666	1.9e-06
2	61224259	6.6e-09
2	61226114	3.1e-06
2	61230647	2.9e-07
2	61231014	2.7e-07
2	61247510	2.2e-05
2	61262134	7e-05
2	61306754	0.0002
2	62679582	0.00017
2	65243321	0.071
2	65505652	0.0047
2	66361370	0.013
2	67045396	0.15
2	67702819	0.00064
2	68592315	0.00083
2	69006721	0.43
2	69231050	4.6e-05
2	69567984	0.028
2	69949316	0.0011
2	70013733	0.01
2	70165966	0.00047
2	71734357	0.15
2	72361960	0.019
2	72429239	0.43
2	74746322	0.1
2	75319702	0.0052
2	78840783	0.032
2	79386058	0.012
2	79607267	0.26
2	80521341	0.054
2	80651461	0.0028
2	83340623	0.75
2	86002007	0.12
2	86266274	0.74
2	86707504	0.039
2	88381736	0.004
2	88383136	0.01
2	88415087	0.0014
2	88464926	0.28
2	96422939	0.028
2	97739057	0.47
2	98975985	0.0041
2	99531842	0.01
2	99876244	0.081
2	100057489	0.18
2	101122721	0.1
2	102500336	0.16
2	102738545	0.99
2	102917788	1.1e-09
2	102926981	1.4e-09
2	102930948	8.6e-10
2	102936981	9.5e-10
2	102950822	8.1e-08
2	102951972	9.8e-10
2	102952360	1.8e-06
2	102953067	9.5e-10
2	102957716	1.1e-07
2	102960007	3.7e-06
2	102960584	1.1e-06
2	102966067	6.1e-07
2	102967844	6.2e-06
2	102971865	4.3e-10
2	102974417	5.1e-06
2	103001402	4.5e-05
2	103019919	4.1e-11
2	103035889	0.0048
2	103039929	4.4e-11
2	103049910	2.2e-12
2	103054449	1.6e-12
2	103054767	8.8e-05
2	103055420	3.6e-06
2	103056534	2.9e-06
2	103060851	3.1e-06
2	103063369	2.2e-12
2	103066858	2.8e-06
2	103068787	3.1e-12
2	103070568	2.6e-12
2	103089078	2.5e-06
2	103089678	2.3e-06
2	103090127	4.1e-06
2	103094213	1.3e-11
2	103117283	0.00025
2	103123301	3.3e-08
2	103123965	3.6e-08
2	103125018	2.1e-08
2	103136309	8.7e-08
2	103149182	1.7e-05
2	103151862	6.8e-08
2	103165129	7.6e-08
2	103165504	0.0014
2	103173059	1.4e-07
2	103176411	4.5e-08
2	103176797	4.8e-08
2	103208610	7.9e-07
2	103232093	0.014
2	103412425	0.035
2	108583570	0.16
2	109945240	0.0036
2	109957036	0.011
2	111780719	0.032
2	111863438	0.00098
2	111903527	0.00013
2	113841030	0.11
2	113974196	0.0002
2	113975066	0.00026
2	115283777	0.9
2	118908358	0.036
2	119731188	0.065
2	120346763	0.0064
2	120439459	0.0012
2	120443443	0.0046
2	121737198	0.18
2	121892832	0.67
2	124847337	0.0095
2	126535687	0.39
2	128118553	0.019
2	128150924	0.00071
2	128218364	9.1e-05
2	128471839	0.12
2	130231345	0.00015
2	130377385	0.33
2	130457465	0.0035
2	133577528	0.33
2	134847383	0.0032
2	134960601	0.0052
2	135058290	0.073
2	135829309	0.85
2	138550308	0.012
2	138631472	0.036
2	139991649	0.96
2	141079858	0.0031
2	141153229	6.8e-05
2	141501630	0.0064
2	141551350	0.21
2	143197547	0.12
2	143751071	0.00081
2	143791014	0.00052
2	145623197	0.00015
2	146836052	0.032
2	148209758	0.049
2	149386979	0.0017
2	149452801	0.00017
2	150581612	0.007
2	151452042	0.25
2	151667708	0.024
2	153206764	0.0048
2	153391282	0.00052
2	153479857	0.87
2	157445830	0.0016
2	157921236	0.11
2	158750454	0.6
2	160212085	0.16
2	160897655	0.041
2	160989296	0.0025
2	162186610	0.013
2	162808640	0.96
2	164840238	0.1
2	165643647	0.021
2	166681122	0.00011
2	166686414	0.00061
2	166712701	0.0017
2	166714081	5.3e-05
2	166721251	0.0019
2	168659311	0.34
2	169530665	0.007
2	172174263	0.025
2	172195421	0.58
2	172453700	7.5e-05
2	173262978	0.00048
2	173300053	0.013
2	174833833	0.048
2	176317599	0.16
2	176654894	0.0019
2	176671391	0.0014
2	179900673	0.054
2	180298424	0.77
2	182319301	0.0016
2	182399486	0.0068
2	182852282	0.00031
2	182859734	0.0031
2	184434075	0.27
2	185609004	0.028
2	187882982	0.00094
2	188238101	0.72
2	191342715	0.11
2	191613193	0.0074
2	191789907	7.2e-06
2	192205846	0.28
2	192389513	0.035
2	192533510	0.0025
2	196387624	0.85
2	197920169	0.041
2	198021715	0.0079
2	198113157	6.6e-06
2	198132601	3.8e-07
2	198165121	0.0028
2	198173536	0.00086
2	198403697	0.00017
2	198530266	7.7e-05
2	198533606	2.6e-05
2	198545462	2.8e-06
2	198558679	3.1e-06
2	198569051	3.3e-06
2	198576142	4.7e-06
2	198585087	2.4e-06
2	198622752	7.4e-07
2	198624285	7.2e-07
2	198643421	6.8e-07
2	198643631	8.5e-07
2	198665520	5.3e-06
2	198691006	5.6e-06
2	198706916	4.2e-06
2	198727852	7.1e-06
2	198735031	6.1e-06
2	198769739	2.5e-06
2	198780860	1.8e-06
2	198795863	2e-06
2	198800532	2.1e-06
2	198801707	2e-06
2	198805930	2.8e-06
2	198808578	2.6e-06
2	198809975	2.1e-06
2	198813410	1.9e-06
2	198815303	1.9e-06
2	198819824	2.2e-06
2	198825668	2.4e-06
2	198841615	2.1e-06
2	198868201	6.8e-06
2	198880378	1.7e-06
2	198891799	2.5e-07
2	198894139	2.3e-07
2	198896895	1.8e-07
2	198898265	3.7e-06
2	198898344	2.1e-07
2	198900305	6.3e-06
2	198900363	5.1e-07
2	198901395	6.5e-06
2	198901564	6.1e-06
2	198904465	3.6e-07
2	198904914	6.7e-06
2	198906481	4.3e-07
2	198911245	6.6e-06
2	198914072	3.6e-07
2	198929716	9.5e-06
2	198929806	3.4e-07
2	198930197	2.5e-07
2	198942568	0.0003
2	198950240	9.3e-06
2	199086265	0.046
2	199476479	0.28
2	202093325	0.021
2	202610244	0.063
2	203458494	0.0006
2	203488449	0.00021
2	203497786	0.00011
2	203594559	5.8e-05
2	203606754	0.013
2	204601910	0.0027
2	204731519	0.00089
2	207480608	0.15
2	209190632	0.65
2	210222441	0.0031
2	210557380	0.00095
2	210606243	0.0002
2	213530069	0.00061
2	213766075	0.12
2	214714975	0.17
2	215564323	0.35
2	216282481	0.025
2	216312938	0.013
2	218128945	0.28
2	219162836	0.0035
2	219191569	0.0016
2	219267781	0.014
2	220137991	0.12
2	220666208	0.00064
2	222533936	0.028
2	224472252	0.99
2	224947253	0.084
2	226183487	0.22
2	226244129	0.037
2	229958524	0.00012
2	230668968	0.011
2	230903875	0.5
2	231089943	8.3e-08
2	231091223	5.1e-08
2	231097129	4.3e-08
2	231106724	1.7e-07
2	231106935	1.9e-07
2	231109329	4.5e-08
2	231111422	4.6e-07
2	231114131	1.1e-07
2	231114180	3.1e-07
2	231114593	2.7e-07
2	231115603	2.8e-07
2	231115790	1.9e-07
2	231116874	4.6e-09
2	231130887	3.2e-05
2	231148009	0.00013
2	231181082	0.0034
2	231265405	0.00053
2	231588109	0.00086
2	233987114	0.47
2	234143244	1.6e-15
2	234145080	2.8e-06
2	234145971	1.7e-26
2	234149702	3e-39
2	234152509	1.4e-09
2	234158839	9e-41
2	234161448	8.1e-41
2	234161769	7.7e-41
2	234167020	2.7e-18
2	234168951	4.5e-21
2	234170369	9.6e-41
2	234170397	6.6e-18
2	234173503	1.3e-40
2	234175706	1.4e-40
2	234180410	1.6e-40
2	234180979	1.9e-06
2	234181556	3.5e-06
2	234181848	1.9e-40
2	234182025	2.9e-06
2	234182240	3.5e-40
2	234183368	1.7e-40
2	234183468	1e-40
2	234184417	6.7e-41
2	234186734	5.1e-12
2	234189359	5e-06
2	234189406	4.1e-06
2	234190740	1.1e-29
2	234192251	3.3e-21
2	234194957	1.3e-16
2	234199401	1e-05
2	234199461	1.4e-15
2	234199537	1.5e-09
2	234201700	1.7e-09
2	234202766	8.8e-06
2	234203597	4.8e-36
2	234203740	6.5e-06
2	234203876	7.2e-06
2	234204113	1.7e-09
2	234204527	2.1e-09
2	234206750	8.5e-36
2	234210329	1.3e-08
2	234210972	7.1e-15
2	234227523	1.9e-08
2	234233235	1.8e-08
2	234234845	1.9e-08
2	234237765	2.2e-08
2	234238254	2.2e-08
2	234238784	2.1e-08
2	234238900	2.5e-08
2	234242347	4.8e-22
2	234246994	7.8e-18
2	234247627	9.2e-13
2	234247924	1.2e-12
2	234251322	5.9e-13
2	234255547	9.8e-08
2	234257454	9e-10
2	234258101	8.3e-10
2	234266842	2.5e-06
2	234267619	2.1e-06
2	234268308	0.00013
2	234296650	2.5e-06
2	234299919	4.1e-06
2	234308782	8.8e-06
2	234357513	4.7e-07
2	234378902	0.00044
2	234381817	8e-06
2	234386803	4.7e-05
2	235446253	0.0053
2	235570734	0.12
2	237614938	0.0011
2	237619878	0.0019
2	238975740	0.024
2	239492898	0.17
2	240270307	0.0074
2	240443992	0.095
2	240728483	0.82
2	241289385	0.027
2	241579108	0.0025
2	242051559	0.25
2	242515197	0.0017
2	242521405	0.0015
3	529666	0.29
3	2058481	0.0026
3	2078499	0.00056
3	2079789	0.00061
3	3111458	0.00081
3	3494618	0.0062
3	3741636	0.016
3	4486303	0.92
3	4997021	0.089
3	8490918	0.58
3	9072878	0.031
3	10168892	0.11
3	10605733	0.0095
3	12358492	0.18
3	14402491	0.0016
3	15333106	0.0047
3	15530595	0.013
3	17686841	0.064
3	18610877	7.9e-05
3	18621307	0.00062
3	18652605	2.2e-05
3	18673993	5.2e-06
3	18684046	1.1e-06
3	18704299	4.1e-06
3	18706858	8.2e-07
3	18772770	5.8e-05
3	18825074	6.7e-06
3	20790181	0.0043
3	21179332	0.021
3	21229722	0.33
3	21577797	0.53
3	21615806	0.00068
3	23871730	0.016
3	24046719	0.0013
3	24467908	0.098
3	24942605	0.32
3	24961849	0.92
3	25528363	0.012
3	32364319	0.0069
3	32903723	0.89
3	34823260	0.039
3	35117776	0.00067
3	35638347	0.11
3	37107470	0.16
3	38654509	0.0043
3	39307256	0.0018
3	41077671	0.39
3	43593399	0.013
3	43950041	0.12
3	44524674	0.024
3	44871986	0.34
3	45546656	0.0041
3	45565865	0.0002
3	45588141	0.00031
3	46274765	0.0003
3	46280194	7.7e-05
3	46284093	8.2e-05
3	47930420	0.69
3	48528850	0.00084
3	48689787	2.2e-06
3	48691316	2.7e-06
3	48695667	3.2e-06
3	48702606	2.3e-06
3	48705934	4.8e-06
3	48712791	2e-06
3	48735706	3.4e-08
3	48738491	3.4e-08
3	48749358	6.8e-08
3	48752654	7.5e-08
3	48756512	6.2e-08
3	48770732	4.2e-06
3	48816725	2.6e-06
3	48833615	2.2e-06
3	48919232	0.0076
3	48961726	3.4e-06
3	49064110	4.4e-07
3	49178990	2.3e-06
3	49213030	2.2e-06
3	49215583	2.5e-06
3	49215966	2.4e-06
3	49291883	2e-06
3	49294250	2.8e-06
3	49313978	2.3e-06
3	49322027	4.2e-10
3	49326178	4.3e-10
3	49329090	3.5e-10
3	49343175	7.6e-10
3	49352619	1.6e-09
3	49356671	2.2e-06
3	49359943	1.8e-09
3	49361791	1.1e-13
3	49362892	1.3e-06
3	49365269	2.1e-06
3	49366741	1.6e-09
3	49382925	1.5e-09
3	49396360	7.1e-15
3	49406095	0.00016
3	49411404	6.5e-14
3	49450449	5.3e-15
3	49450864	7.7e-14
3	49453834	7.8e-15
3	49454112	3.9e-15
3	49454277	4.7e-15
3	49458266	8.3e-14
3	49459252	1.2e-13
3	49463287	9.1e-15
3	49470668	1e-14
3	49491983	9.9e-14
3	49497883	6.9e-14
3	49520958	4.3e-14
3	49524236	2.1e-14
3	49538799	4.5e-14
3	49538932	3.7e-15
3	49547561	3.4e-15
3	49557051	4.8e-14
3	49570200	3.5e-15
3	49570882	4.6e-14
3	49572140	4e-15
3	49590770	2e-15
3	49597013	2.3e-15
3	49597737	2.5e-15
3	49634594	2.5e-06
3	49634696	2.7e-15
3	49649989	4.2e-16
3	49656789	3.4e-12
3	49665976	8.5e-16
3	49666964	8.8e-16
3	49678651	4e-16
3	49685073	8.4e-13
3	49690496	1.6e-16
3	49696633	2.2e-12
3	49696797	2.9e-16
3	49701983	1.5e-16
3	49704987	1.5e-12
3	49708502	1.5e-12
3	49712297	1.3e-16
3	49715446	1.5e-12
3	49719729	1.5e-16
3	49721532	6.2e-17
3	49735746	7.1e-11
3	49738945	8.2e-11
3	49744890	3.9e-11
3	49745188	4.2e-11
3	49751585	5.3e-11
