GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
ENSG00000049245	1	7831329	7841492	4	2	17500	5.2617	7.1377e-08
ENSG00000049246	1	7844380	7905237	25	6	17500	4.6617	1.5682e-06
ENSG00000049247	1	7903143	7913572	5	3	17500	4.679	1.4416e-06
ENSG00000049249	1	7979907	8000926	3	2	17500	1.6821	0.046279
ENSG00000116288	1	8014351	8045565	9	3	17500	3.1701	0.00076195
ENSG00000116285	1	8064464	8086368	7	2	17500	3.5128	0.00022174
ENSG00000162426	1	8377886	8404227	7	3	17500	1.8786	0.030146
ENSG00000142599	1	8412457	8877702	116	11	17500	0.49736	0.30947
ENSG00000074800	1	8921061	8939308	6	2	17500	-2.122	0.98308
ENSG00000236269	1	8935847	8938066	1	1	17500	-0.91537	0.82
ENSG00000230679	1	8938894	8939953	1	1	17500	-1.1264	0.87
ENSG00000131686	1	9005926	9035151	19	5	17500	1.2866	0.099114
ENSG00000197241	1	9063359	9086404	8	3	17500	0.421	0.33688
ENSG00000142583	1	9095166	9148537	20	4	17500	-0.22495	0.58899
ENSG00000180758	1	9160364	9189229	8	3	17500	0.64037	0.26097
ENSG00000049239	1	9294834	9331396	12	4	17500	0.045037	0.48204
ENSG00000171621	1	9352939	9429591	29	10	17500	1.3913	0.082061
ENSG00000171612	1	9599541	9645237	6	1	17500	2.5165	0.005926
ENSG00000188807	1	9648932	9674935	5	2	17500	2.3568	0.0092167
ENSG00000171608	1	9711790	9789172	14	4	17500	1.0892	0.13802
ENSG00000179840	1	9712668	9714644	2	1	17500	-0.67986	0.7517
ENSG00000171603	1	9789084	9884584	12	2	17500	0.36098	0.35906
ENSG00000178585	1	9908334	9970394	6	1	17500	-0.47588	0.68292
ENSG00000162441	1	9982173	10003465	7	2	17500	-0.046062	0.51837
ENSG00000173614	1	10003486	10045559	9	2	17500	-0.37159	0.6449
ENSG00000162444	1	10057264	10076078	1	1	17500	-0.27932	0.61
ENSG00000130939	1	10092890	10241297	29	7	17500	0.18546	0.42643
ENSG00000054523	1	10270863	10441661	60	4	17500	-0.91655	0.82031
ENSG00000142657	1	10458649	10480201	5	1	17500	-0.69376	0.75608
ENSG00000175279	1	10490159	10512210	9	2	17500	-0.047996	0.51914
ENSG00000251503	1	10490159	10512210	9	2	17500	-0.047996	0.51914
ENSG00000241563	1	10509776	10511959	1	1	17500	-1.0803	0.86
ENSG00000160049	1	10516579	10532583	2	1	17500	0.98444	0.16245
ENSG00000142655	1	10532345	10690815	74	11	17500	2.389	0.008448
ENSG00000130940	1	10696661	10856707	36	16	17500	1.1045	0.13469
ENSG00000175262	1	11006528	11042094	14	3	17500	-0.55458	0.71041
ENSG00000120948	1	11072414	11085796	3	1	17500	1.5358	0.062297
ENSG00000009724	1	11086580	11107290	5	1	17500	1.4662	0.071302
ENSG00000171824	1	11126675	11159938	7	1	17500	0.50979	0.3051
ENSG00000198793	1	11166592	11322564	24	2	17500	0.77499	0.21917
ENSG00000225602	1	11203955	11209594	1	1	17500	0.17637	0.43
ENSG00000204624	1	11539223	11597641	19	4	17500	0.18382	0.42708
ENSG00000116661	1	11708424	11715842	2	1	17500	-0.41531	0.66104
ENSG00000132879	1	11714432	11723384	5	2	17500	1.1538	0.12429
ENSG00000116670	1	11734537	11751707	4	2	17500	-0.77081	0.77959
ENSG00000162490	1	11751786	11785914	9	3	17500	-0.2022	0.58012
ENSG00000177674	1	11796141	11814859	9	2	17500	-0.15935	0.5633
ENSG00000215910	1	11821844	11849642	16	3	17500	-0.63915	0.73864
ENSG00000177000	1	11845780	11866977	24	5	17500	-0.013012	0.50519
ENSG00000011021	1	11866207	11903201	27	6	17500	-0.17024	0.56759
ENSG00000242349	1	11901074	11908136	7	2	17500	-0.44981	0.67358
ENSG00000175206	1	11905766	11908402	5	2	17500	-0.85168	0.8028
ENSG00000116685	1	11979648	11986485	5	2	17500	0.07545	0.46993
ENSG00000083444	1	11994262	12035595	16	4	17500	0.2559	0.39902
ENSG00000116688	1	12040238	12073571	12	3	17500	-1.0947	0.86317
ENSG00000116691	1	12079523	12092102	4	2	17500	1.4528	0.073143
ENSG00000120949	1	12123434	12204264	18	6	17500	-0.017837	0.50712
ENSG00000028137	1	12227060	12269285	14	4	17500	-0.21182	0.58388
ENSG00000048707	1	12290124	12572099	34	7	17500	0.51428	0.30353
ENSG00000162496	1	12627939	12677737	18	7	17500	3.5987	0.0001599
ENSG00000188984	1	12776118	12788726	17	3	17500	-0.9907	0.83908
ENSG00000157330	1	12806163	12823847	10	3	17500	-0.47461	0.68247
ENSG00000116726	1	12834984	12838049	2	1	17500	0.48203	0.31489
ENSG00000162494	1	13801445	13840543	18	7	17500	0.21299	0.41567
ENSG00000162493	1	13909960	13944452	24	8	17500	0.86895	0.19244
ENSG00000116731	1	14026693	14151574	59	10	17500	2.0145	0.021979
ENSG00000189337	1	14925200	15444539	212	65	17500	0.083132	0.46687
ENSG00000235829	1	15018625	15019109	1	1	17500	-1.6449	0.95
ENSG00000175147	1	15442448	15478960	23	6	17500	0.41756	0.33814
ENSG00000171729	1	15479028	15546976	55	13	17500	0.82559	0.20452
ENSG00000204464	1	15490840	15497813	3	2	17500	0.44588	0.32784
ENSG00000142621	1	15573768	15726779	53	14	17500	0.95855	0.16889
ENSG00000142634	1	15736391	15756839	2	1	17500	1.9364	0.026408
ENSG00000162438	1	15764935	15775737	1	1	17500	-0.38532	0.65
ENSG00000142615	1	15783223	15798586	7	3	17500	-0.5677	0.71488
ENSG00000215704	1	15792404	15817895	8	3	17500	1.7906	0.036677
ENSG00000132906	1	15817327	15853029	22	3	17500	1.8907	0.029331
ENSG00000116138	1	15853308	15918874	18	3	17500	1.7529	0.039811
ENSG00000116771	1	15898848	15911605	4	1	17500	1.5602	0.05936
ENSG00000197312	1	15943995	15995539	13	1	17500	-0.16781	0.56663
ENSG00000215695	1	15986364	15988217	1	1	17500	-0.80642	0.79
ENSG00000116786	1	16010827	16061264	21	3	17500	-0.024662	0.50984
ENSG00000162461	1	16062900	16067891	1	1	17500	0.99446	0.16
ENSG00000162460	1	16068917	16074477	1	1	17500	1.1264	0.13
ENSG00000162458	1	16083102	16113089	7	2	17500	2.2576	0.011984
ENSG00000065526	1	16174359	16266955	28	5	17500	0.47102	0.31881
ENSG00000116809	1	16268364	16302627	10	4	17500	0.59005	0.27758
ENSG00000183888	1	16330731	16335302	3	1	17500	-0.39812	0.65473
ENSG00000173641	1	16340523	16346089	7	2	17500	-0.052581	0.52097
ENSG00000186510	1	16345370	16360545	9	3	17500	0.72293	0.23486
ENSG00000184908	1	16370272	16383803	9	3	17500	0.77388	0.2195
ENSG00000185519	1	16384264	16400127	4	2	17500	2.3717	0.0088528
ENSG00000142627	1	16450832	16482582	16	4	17500	0.21685	0.41416
ENSG00000234166	1	16524349	16524852	1	1	17500	-0.55338	0.71
ENSG00000142632	1	16524349	16539104	8	2	17500	-0.35385	0.63827
ENSG00000237276	1	16542404	16554522	1	1	17500	0.33185	0.37
ENSG00000132881	1	16558195	16563657	1	1	17500	-2.0537	0.98
ENSG00000037637	1	16573334	16678949	25	3	17500	1.0737	0.14148
ENSG00000055070	1	16679070	16724640	7	2	17500	1.1109	0.13331
ENSG00000187144	1	16713612	16763919	12	4	17500	0.97875	0.16385
ENSG00000157191	1	16767167	16786573	6	2	17500	0.65236	0.25708
ENSG00000080947	1	16793931	16825752	4	2	17500	0.84659	0.19861
ENSG00000058453	1	17066768	17299474	7	3	17500	0.05926	0.47637
ENSG00000117122	1	17300997	17307330	1	1	17500	-0.07527	0.53
ENSG00000159363	1	17312453	17338423	5	2	17500	-1.4173	0.92181
ENSG00000117118	1	17345217	17380665	18	4	17500	-0.79871	0.78777
ENSG00000117115	1	17393256	17445948	40	4	17500	-0.6622	0.74608
ENSG00000142623	1	17531621	17572500	18	5	17500	0.64971	0.25794
ENSG00000142619	1	17575593	17610728	28	8	17500	0.79561	0.21313
ENSG00000159339	1	17634690	17690499	23	5	17500	0.21285	0.41572
ENSG00000256049	1	17698691	17728195	26	5	17500	-0.44688	0.67252
ENSG00000179051	1	17733256	17766220	14	2	17500	-1.3142	0.90561
ENSG00000074964	1	17866330	18024369	37	7	17500	-0.1454	0.5578
ENSG00000117148	1	18081808	18153558	23	5	17500	0.13421	0.44662
ENSG00000117154	1	18434240	18704977	144	44	17500	-0.085758	0.53417
ENSG00000179023	1	18807424	18812478	8	3	17500	-0.57709	0.71806
ENSG00000009709	1	18957500	19075360	36	11	17500	-0.98506	0.8377
ENSG00000179002	1	19166093	19186176	5	2	17500	-0.42768	0.66556
ENSG00000159423	1	19197926	19229275	1	1	17500	-1.5548	0.94
ENSG00000169991	1	19230775	19283180	9	3	17500	1.0388	0.14944
ENSG00000127481	1	19401000	19536770	51	6	17500	-0.20737	0.58214
ENSG00000127463	1	19542158	19578046	13	3	17500	0.58664	0.27872
ENSG00000053372	1	19578033	19586622	6	2	17500	-0.052105	0.52078
ENSG00000162482	1	19609052	19615744	1	1	17500	-0.4677	0.68
ENSG00000053371	1	19630459	19638640	3	1	17500	-1.361	0.91324
ENSG00000040487	1	19638820	19655794	5	2	17500	0.57726	0.28188
ENSG00000077549	1	19665267	19812066	104	12	17500	2.0034	0.022565
ENSG00000270136	1	19923473	19984549	20	7	17500	-0.9508	0.82915
ENSG00000173436	1	19923477	19956314	10	3	17500	-0.028806	0.51149
ENSG00000158747	1	19967048	19984945	8	4	17500	-2.3973	0.99174
ENSG00000158748	1	19991780	20006055	7	2	17500	-0.69884	0.75767
ENSG00000162542	1	20008706	20126438	37	11	17500	0.32606	0.37219
ENSG00000169914	1	20209006	20239438	8	3	17500	0.68624	0.24628
ENSG00000188784	1	20246502	20250110	3	2	17500	-0.43435	0.66798
ENSG00000188257	1	20301925	20306932	2	1	17500	2.4968	0.0062653
ENSG00000127472	1	20354672	20417683	29	7	17500	0.17716	0.42969
ENSG00000117215	1	20438432	20446050	2	1	17500	-1.4744	0.92981
ENSG00000158786	1	20465819	20476879	2	1	17500	0.032654	0.48698
ENSG00000187980	1	20487746	20503917	9	3	17500	2.2209	0.01318
ENSG00000162543	1	20512578	20522541	3	1	17500	0.37108	0.35529
ENSG00000158816	1	20617412	20681387	40	8	17500	-1.491	0.93202
ENSG00000236963	1	20687072	20757727	27	7	17500	0.66605	0.25269
ENSG00000090432	1	20825943	20834654	5	2	17500	-0.60604	0.72776
ENSG00000158825	1	20915441	20945401	15	6	17500	0.68316	0.24725
ENSG00000158828	1	20959948	20978004	9	2	17500	1.025	0.15268
ENSG00000117242	1	20969150	20978686	8	2	17500	1.2745	0.10124
ENSG00000244038	1	20978270	20988000	11	3	17500	0.90337	0.18316
ENSG00000117245	1	20990507	21044510	14	7	17500	0.97857	0.1639
ENSG00000189410	1	21046225	21059330	7	3	17500	-0.13229	0.55262
ENSG00000127483	1	21069154	21113816	15	4	17500	-0.96897	0.83372
ENSG00000075151	1	21132963	21503377	61	4	17500	-1.1476	0.87444
ENSG00000117298	1	21543740	21671997	64	15	17500	0.4738	0.31782
ENSG00000142794	1	21766621	21811498	7	2	17500	-1.4215	0.92241
ENSG00000162551	1	21835858	21904905	55	13	17500	0.54724	0.29211
ENSG00000076864	1	21922708	21995801	34	12	17500	2.6206	0.0043882
ENSG00000090686	1	22004791	22110099	40	7	17500	2.4168	0.0078285
ENSG00000187942	1	22138758	22151714	3	2	17500	-0.795	0.78669
ENSG00000142798	1	22148738	22263790	33	7	17500	-0.98059	0.8366
ENSG00000219073	1	22303514	22325135	3	1	17500	0.22389	0.41142
ENSG00000142789	1	22328149	22339032	1	1	17500	0.025069	0.49
ENSG00000218510	1	22351681	22357716	3	1	17500	-2.008	0.97768
ENSG00000070831	1	22379120	22419437	9	2	17500	0.69716	0.24285
ENSG00000230068	1	22385690	22390692	2	1	17500	0.8816	0.189
ENSG00000162552	1	22443798	22470462	11	4	17500	-0.81369	0.79209
ENSG00000184677	1	22778344	22857650	27	3	17500	0.6342	0.26297
ENSG00000070886	1	22890057	22930087	14	5	17500	-0.2288	0.59049
ENSG00000173372	1	22962999	22966101	2	1	17500	0.26924	0.39387
ENSG00000159189	1	22970123	22974603	3	1	17500	0.437	0.33106
ENSG00000173369	1	22979255	22988031	5	2	17500	0.42915	0.33391
ENSG00000133216	1	23037332	23241818	78	18	17500	0.16262	0.43541
ENSG00000215906	1	23279536	23291831	5	2	17500	-1.4455	0.92585
ENSG00000227868	1	23337327	23342343	2	1	17500	0.62766	0.26511
ENSG00000004487	1	23345941	23410182	10	2	17500	0.31061	0.37805
ENSG00000169641	1	23410516	23504301	26	5	17500	0.91983	0.17883
ENSG00000125944	1	23630264	23670829	7	3	17500	-0.28674	0.61284
ENSG00000125945	1	23685941	23695935	8	2	17500	0.33834	0.36755
ENSG00000249087	1	23695490	23698332	2	1	17500	-0.55727	0.71133
ENSG00000204219	1	23707554	23751233	16	5	17500	-0.48531	0.68627
ENSG00000088280	1	23755056	23811061	14	3	17500	0.20907	0.4172
ENSG00000007968	1	23832922	23857712	6	2	17500	1.2999	0.096826
ENSG00000117318	1	23884409	23886285	2	1	17500	0.52494	0.29981
ENSG00000197880	1	23907985	23967058	16	5	17500	0.83567	0.20167
ENSG00000142676	1	24018269	24022915	2	1	17500	-0.80317	0.78906
ENSG00000011007	1	24069645	24088549	4	2	17500	-0.56129	0.7127
ENSG00000057757	1	24104895	24114722	2	1	17500	-0.45381	0.67502
ENSG00000011009	1	24117460	24122029	1	1	17500	-0.7063	0.76
ENSG00000117305	1	24128375	24165110	9	2	17500	-0.26961	0.60627
ENSG00000179163	1	24171567	24194784	2	1	17500	0.53143	0.29756
ENSG00000188822	1	24197016	24285549	1	1	17500	-0.7063	0.76
ENSG00000142661	1	24382525	24438665	48	7	17500	2.6138	0.0044771
ENSG00000142677	1	24446261	24469611	14	5	17500	2.6706	0.0037855
ENSG00000185436	1	24480647	24514449	16	5	17500	0.90262	0.18336
ENSG00000158055	1	24645812	24690972	15	4	17500	1.5377	0.062066
ENSG00000001460	1	24683489	24743424	29	5	17500	-0.79158	0.7857
ENSG00000001461	1	24742284	24799466	29	5	17500	-1.5736	0.9422
ENSG00000117602	1	24829387	24867530	10	2	17500	1.0394	0.14932
ENSG00000184454	1	24882602	24935819	19	6	17500	0.37627	0.35336
ENSG00000133226	1	24958207	24999758	2	1	17500	-1.2198	0.88874
ENSG00000169504	1	25071848	25170815	13	1	17500	-0.37844	0.64745
ENSG00000020633	1	25226002	25291612	19	4	17500	1.2852	0.099357
ENSG00000117616	1	25568728	25664704	2	1	17500	-0.2553	0.60076
ENSG00000187010	1	25598884	25656936	1	1	17500	0.12566	0.45
ENSG00000183726	1	25664408	25688852	1	1	17500	-0.7063	0.76
ENSG00000188672	1	25688740	25756683	3	1	17500	-0.4456	0.67206
ENSG00000204178	1	25757388	25826700	3	1	17500	-0.51484	0.69667
ENSG00000157978	1	25870071	25895377	6	1	17500	0.090623	0.4639
ENSG00000117643	1	25943959	26112698	45	8	17500	-0.61505	0.73074
ENSG00000162430	1	26126667	26144713	5	2	17500	-0.59517	0.72414
ENSG00000117640	1	26145131	26159432	4	1	17500	-1.0098	0.84371
ENSG00000127423	1	26158414	26185903	9	1	17500	-1.0981	0.86391
ENSG00000182749	1	26187701	26197744	2	1	17500	-0.85038	0.80244
ENSG00000117632	1	26210672	26233482	7	2	17500	-0.13232	0.55263
ENSG00000229786	1	26213851	26214101	1	1	17500	0.10043	0.46
ENSG00000158006	1	26286258	26324648	15	2	17500	2.4434	0.0072749
ENSG00000158008	1	26346375	26362955	1	1	17500	0.95417	0.17
ENSG00000158014	1	26363743	26372624	2	1	17500	0.19437	0.42294
ENSG00000158022	1	26377795	26394927	9	2	17500	-0.20296	0.58041
ENSG00000175087	1	26437664	26452034	8	1	17500	0.73593	0.23089
ENSG00000197245	1	26485511	26489119	1	1	17500	0.84162	0.2
ENSG00000142684	1	26496362	26498551	2	1	17500	0.46107	0.32237
ENSG00000142675	1	26503894	26516377	5	2	17500	0.18784	0.4255
ENSG00000188782	1	26517052	26529459	13	4	17500	0.019666	0.49215
ENSG00000130695	1	26560691	26605299	25	5	17500	0.031431	0.48746
ENSG00000142669	1	26605667	26608007	1	1	17500	0.91537	0.18
ENSG00000158062	1	26607819	26644854	17	4	17500	0.1328	0.44717
ENSG00000169442	1	26644448	26647014	3	1	17500	0.91292	0.18064
ENSG00000176092	1	26648350	26680621	24	5	17500	-0.77267	0.78014
ENSG00000176083	1	26688125	26701013	12	3	17500	-0.52447	0.70002
ENSG00000131914	1	26737269	26756213	8	4	17500	2.9575	0.0015507
ENSG00000117682	1	26758773	26797785	15	5	17500	1.0141	0.15526
ENSG00000224129	1	26845845	26846741	1	1	17500	0.27932	0.39
ENSG00000117676	1	26856252	26901521	17	4	17500	2.2489	0.012259
ENSG00000117713	1	27022524	27108595	10	3	17500	2.8089	0.0024857
ENSG00000204160	1	27153201	27184093	8	2	17500	1.4534	0.073057
ENSG00000198746	1	27216979	27226957	3	2	17500	2.1805	0.014612
ENSG00000090273	1	27226729	27273353	7	3	17500	1.5878	0.056167
ENSG00000131910	1	27237980	27240457	1	1	17500	-0.20189	0.58
ENSG00000175707	1	27276053	27286897	3	1	17500	1.4354	0.075593
ENSG00000253368	1	27320198	27327389	1	1	17500	0.55338	0.29
ENSG00000158246	1	27331511	27339327	1	1	17500	0.17637	0.43
ENSG00000090020	1	27425306	27493472	9	1	17500	0.7658	0.2219
ENSG00000142784	1	27561007	27635110	8	3	17500	1.3319	0.091451
ENSG00000186501	1	27648651	27662891	3	1	17500	0.19391	0.42312
ENSG00000142765	1	27668513	27680421	4	2	17500	-0.74272	0.77117
ENSG00000142733	1	27681675	27693383	5	2	17500	-0.54316	0.70649
ENSG00000174950	1	27705666	27709870	2	1	17500	0.77112	0.22032
ENSG00000181773	1	27719148	27722318	1	1	17500	1.0803	0.14
ENSG00000158195	1	27730730	27816669	17	1	17500	0.37185	0.355
ENSG00000126705	1	27860546	27930942	3	1	17500	-1.1088	0.86624
ENSG00000000938	1	27938575	27961788	1	1	17500	-0.25335	0.6
ENSG00000009780	1	28052490	28089633	1	1	17500	-0.73885	0.77
ENSG00000130775	1	28199055	28213196	9	2	17500	0.45331	0.32516
ENSG00000117748	1	28218035	28241257	8	1	17500	0.14418	0.44268
ENSG00000130768	1	28261504	28285668	16	4	17500	0.067182	0.47322
ENSG00000158161	1	28296855	28415207	23	3	17500	1.0114	0.15591
ENSG00000169403	1	28473677	28520447	8	3	17500	0.46073	0.32249
ENSG00000126698	1	28525967	28559536	6	2	17500	1.4022	0.08042
ENSG00000130770	1	28562620	28573417	8	2	17500	1.5497	0.060611
ENSG00000130766	1	28586038	28609002	6	2	17500	-0.7907	0.78544
ENSG00000130772	1	28655513	28662476	1	1	17500	-0.7063	0.76
ENSG00000204138	1	28696114	28826881	11	1	17500	-0.48253	0.68529
ENSG00000180198	1	28832455	28865812	6	1	17500	-0.58193	0.71969
ENSG00000242125	1	28832492	28837404	1	1	17500	-0.20189	0.58
ENSG00000180098	1	28879597	28905051	4	1	17500	0.53295	0.29703
ENSG00000197989	1	28905050	28909495	1	1	17500	0.27932	0.39
ENSG00000120656	1	28915835	28969597	3	1	17500	0.38214	0.35118
ENSG00000162419	1	28995244	29045865	7	1	17500	1.5593	0.059467
ENSG00000198492	1	29063133	29096287	3	1	17500	1.7216	0.042571
ENSG00000116329	1	29138654	29190208	22	4	17500	1.1812	0.11876
ENSG00000159023	1	29213603	29446553	77	10	17500	-0.30115	0.61835
ENSG00000253304	1	29445940	29450447	3	1	17500	0.99874	0.15896
ENSG00000116350	1	29474255	29508499	11	3	17500	-0.041584	0.51659
ENSG00000116353	1	29519385	29557454	11	4	17500	-0.49829	0.69086
ENSG00000060656	1	29563028	29653325	32	10	17500	-1.6407	0.94957
ENSG00000162510	1	31184124	31196434	8	1	17500	0.5606	0.28754
ENSG00000186056	1	31191351	31199674	5	2	17500	0.46704	0.32023
ENSG00000162511	1	31205316	31230667	7	3	17500	0.42	0.33724
ENSG00000162512	1	31342314	31381608	11	5	17500	-1.1532	0.87558
ENSG00000134644	1	31404353	31538838	39	5	17500	-1.0656	0.8567
ENSG00000084628	1	31652592	31712401	24	4	17500	0.71686	0.23673
ENSG00000060688	1	31732417	31769662	15	2	17500	-0.37299	0.64542
ENSG00000121766	1	31769842	31837783	26	3	17500	-0.27535	0.60848
ENSG00000121769	1	31838472	31849697	5	3	17500	1.3395	0.090198
ENSG00000168528	1	31882412	31907525	8	1	17500	-1.0435	0.85164
ENSG00000142910	1	32042116	32053288	1	1	17500	-0.91537	0.82
ENSG00000121764	1	32083287	32098119	4	1	17500	2.1224	0.016902
ENSG00000162517	1	32095463	32110497	6	1	17500	1.8656	0.031051
ENSG00000084636	1	32117848	32169920	23	5	17500	0.052763	0.47896
ENSG00000121753	1	32192718	32230494	5	1	17500	-0.0076927	0.50307
ENSG00000134668	1	32256023	32281652	7	3	17500	2.4574	0.0069981
ENSG00000184007	1	32372022	32410457	4	1	17500	1.9031	0.028511
ENSG00000121774	1	32479430	32526451	1	1	17500	-1.0364	0.85
ENSG00000121775	1	32537632	32568467	8	1	17500	-0.12464	0.5496
ENSG00000025800	1	32573639	32642169	1	1	17500	-0.17637	0.57
ENSG00000084652	1	32645287	32663886	1	1	17500	-0.20189	0.58
ENSG00000160051	1	32671236	32674288	2	1	17500	0.78076	0.21747
ENSG00000160055	1	32680073	32687972	1	1	17500	-0.25335	0.6
ENSG00000084623	1	32687529	32697205	2	1	17500	0.29621	0.38353
ENSG00000220785	1	32697259	32707221	5	2	17500	0.14353	0.44293
ENSG00000182866	1	32716840	32751766	2	1	17500	0.4538	0.32499
ENSG00000160058	1	32830704	32860332	1	1	17500	-0.95417	0.83
ENSG00000229259	1	32888815	32892390	1	1	17500	1.0364	0.15
ENSG00000160062	1	33005028	33071540	16	2	17500	-1.1708	0.87915
ENSG00000176261	1	33065773	33116504	1	1	17500	0.15097	0.44
ENSG00000162521	1	33116743	33151812	1	1	17500	0.33185	0.37
ENSG00000162520	1	33145507	33169197	2	1	17500	0.4304	0.33345
ENSG00000162522	1	33207486	33240571	7	3	17500	-1.5867	0.94371
ENSG00000134684	1	33240840	33283754	11	3	17500	-1.5047	0.9338
ENSG00000116497	1	33282368	33324476	9	3	17500	-2.0934	0.98184
ENSG00000160097	1	33327869	33338083	4	2	17500	-1.3359	0.9092
ENSG00000121905	1	33351595	33364042	2	1	17500	0.13216	0.44743
ENSG00000121900	1	33360195	33367039	1	1	17500	0.050154	0.48
ENSG00000116514	1	33402046	33430286	13	2	17500	-0.84393	0.80065
ENSG00000004455	1	33473585	33546597	16	1	17500	1.2434	0.10687
ENSG00000142920	1	33546705	33586131	3	1	17500	0.4614	0.32226
ENSG00000116525	1	33611003	33647660	9	1	17500	1.1518	0.12471
ENSG00000160094	1	33722146	33766320	10	2	17500	-0.22364	0.58848
ENSG00000184389	1	33772367	33786699	2	1	17500	1.6293	0.05162
ENSG00000134686	1	33789224	33896653	38	6	17500	1.3925	0.081879
ENSG00000121903	1	33938246	33962107	12	3	17500	0.027932	0.48886
ENSG00000121904	1	33979609	34631443	343	68	17500	0.47249	0.31829
ENSG00000227000	1	34304124	34305741	2	1	17500	-0.44879	0.67321
ENSG00000176256	1	34326076	34330392	2	1	17500	-0.47547	0.68277
