gene	symbol	tissue	pos	logP
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156171296	7.45905893874268
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156173685	7.45905893874268
ENSG00000160785	SLC25A44	Cells_Transformed_fibroblasts	156174475	7.42139746024341
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156156789	9.00220048964466
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156156951	8.77518475062579
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156158367	8.94944238571795
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156159217	8.95063852873895
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156159532	8.67089310386395
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156160358	8.78002797732707
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156160696	8.93907563031052
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156160892	8.96132421377413
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156162559	8.93947213422346
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156165290	8.53328211106071
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156165317	8.53328211106071
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156165342	8.53333252731163
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156168736	8.84756181928712
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156169610	8.93130590289752
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156171296	8.93237499997129
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156172125	8.93130590289752
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156173685	8.93237499997129
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156174475	8.91197382830128
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156181007	8.93944568936402
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156181770	8.93130590289752
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156182710	8.93095012124804
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156184458	8.91082992691661
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156184747	9.4354889840678
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156186604	8.37241397914323
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156186615	8.91489502685732
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156186634	8.7342061120679
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156188214	8.93566183267532
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156189793	10.3498489287847
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156190083	8.84175816201913
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156191149	8.42327060771185
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156192351	8.51028051856421
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156195888	8.03102886138961
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156196016	7.41703828170054
ENSG00000196189	SEMA4A	Esophagus_Mucosa	156196407	7.5212070377697
ENSG00000160785	SLC25A44	Lung	156156094	10.3278282258898
ENSG00000160785	SLC25A44	Lung	156156219	9.91013372964133
ENSG00000160785	SLC25A44	Lung	156156789	7.46632833140352
ENSG00000160785	SLC25A44	Lung	156156951	7.60634759568463
ENSG00000160785	SLC25A44	Lung	156158367	8.72568740314828
ENSG00000160785	SLC25A44	Lung	156159064	10.3208247581753
ENSG00000160785	SLC25A44	Lung	156159217	8.88143107664552
ENSG00000160785	SLC25A44	Lung	156159532	8.96299604897405
ENSG00000160785	SLC25A44	Lung	156159909	10.3324891450392
ENSG00000160785	SLC25A44	Lung	156160358	7.80799598957349
ENSG00000160785	SLC25A44	Lung	156160696	8.84343267773113
ENSG00000160785	SLC25A44	Lung	156160822	10.3122116097277
ENSG00000160785	SLC25A44	Lung	156160892	8.80129893608418
ENSG00000160785	SLC25A44	Lung	156161682	9.72294116424489
ENSG00000160785	SLC25A44	Lung	156162559	8.7754358619775
ENSG00000160785	SLC25A44	Lung	156163906	10.2968075318872
ENSG00000160785	SLC25A44	Lung	156164885	8.33300867187473
ENSG00000160785	SLC25A44	Lung	156165290	8.32675969588459
ENSG00000160785	SLC25A44	Lung	156165317	8.32675969588459
ENSG00000160785	SLC25A44	Lung	156165342	8.32706116476326
ENSG00000160785	SLC25A44	Lung	156165881	10.3100228950383
ENSG00000160785	SLC25A44	Lung	156168736	8.93399478809564
ENSG00000160785	SLC25A44	Lung	156169610	7.44521051141861
ENSG00000160785	SLC25A44	Lung	156171296	8.72155051163633
ENSG00000160785	SLC25A44	Lung	156172125	7.44521051141861
ENSG00000160785	SLC25A44	Lung	156173082	10.2903281633316
ENSG00000160785	SLC25A44	Lung	156173685	8.72155051163633
ENSG00000160785	SLC25A44	Lung	156174475	8.71360865685247
ENSG00000160785	SLC25A44	Lung	156174930	9.91232858900513
ENSG00000160785	SLC25A44	Lung	156177285	8.15486845856075
ENSG00000160785	SLC25A44	Lung	156181007	7.47111799327081
ENSG00000160785	SLC25A44	Lung	156181770	7.44521051141861
ENSG00000160785	SLC25A44	Lung	156182710	7.46715265882515
ENSG00000160785	SLC25A44	Lung	156184458	7.62607153979388
ENSG00000160785	SLC25A44	Lung	156184598	7.32379215745954
ENSG00000160785	SLC25A44	Lung	156184747	7.93497704679691
ENSG00000160785	SLC25A44	Lung	156184831	7.32354783377872
ENSG00000160785	SLC25A44	Lung	156186604	7.83172355023281
ENSG00000160785	SLC25A44	Lung	156186615	7.96923840904898
ENSG00000160785	SLC25A44	Lung	156188214	7.50602918483371
ENSG00000160785	SLC25A44	Lung	156189626	8.71244234946204
ENSG00000160785	SLC25A44	Lung	156190083	7.70091347122355
ENSG00000160785	SLC25A44	Lung	156190280	8.67406584233276
ENSG00000160785	SLC25A44	Lung	156192028	8.20468806378144
ENSG00000160785	SLC25A44	Lung	156192351	9.20956423158201
ENSG00000160785	SLC25A44	Lung	156194339	7.4666563483994
ENSG00000160785	SLC25A44	Lung	156194363	8.86907149462687
ENSG00000160785	SLC25A44	Lung	156195205	7.46536351708846
ENSG00000160785	SLC25A44	Lung	156195682	8.44688798415045
ENSG00000160785	SLC25A44	Lung	156196407	7.36452932242864
ENSG00000160785	SLC25A44	Nerve_Tibial	156156094	8.11657081836687
ENSG00000160785	SLC25A44	Nerve_Tibial	156156219	7.96435416902281
ENSG00000160785	SLC25A44	Nerve_Tibial	156159064	8.08281337018428
ENSG00000160785	SLC25A44	Nerve_Tibial	156159909	8.35945695124935
ENSG00000160785	SLC25A44	Nerve_Tibial	156160822	8.06565307326174
ENSG00000160785	SLC25A44	Nerve_Tibial	156161682	7.99479803078902
ENSG00000160785	SLC25A44	Nerve_Tibial	156163906	8.33068776929263
ENSG00000160785	SLC25A44	Nerve_Tibial	156164885	7.5436825619792
ENSG00000160785	SLC25A44	Nerve_Tibial	156165881	8.30369866616934
ENSG00000160785	SLC25A44	Nerve_Tibial	156173082	8.29828698653204
ENSG00000160785	SLC25A44	Nerve_Tibial	156174930	7.95104573620016
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156159909	7.31434333772153
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156165881	7.30662396912465
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156177285	7.60426309998385
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156184268	7.34241738246185
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156184598	7.34251198094805
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156184831	7.3436037422664
ENSG00000196189	SEMA4A	Skin_Sun_Exposed_Lower_leg	156189793	7.72918612276167
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156190280	7.85972142058945
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156194339	7.51234134876479
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156195205	7.49742950456336
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156195682	7.70432516439094
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156197380	7.4086637654902
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156202640	7.75822447950995
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156202759	7.73794066389824
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156202860	7.73871095534266
ENSG00000160785	SLC25A44	Skin_Sun_Exposed_Lower_leg	156202868	7.73871095534266
ENSG00000196189	SEMA4A	Stomach	156189793	7.31358629665914
ENSG00000160785	SLC25A44	Thyroid	156156094	9.76366683433243
ENSG00000160785	SLC25A44	Thyroid	156156219	9.74755233791422
ENSG00000196189	SEMA4A	Thyroid	156156789	8.27861152304103
ENSG00000196189	SEMA4A	Thyroid	156156951	7.6076706822466
ENSG00000196189	SEMA4A	Thyroid	156158367	8.3521350740308
ENSG00000160785	SLC25A44	Thyroid	156159064	9.76692770427621
ENSG00000196189	SEMA4A	Thyroid	156159217	7.9642181657392
ENSG00000196189	SEMA4A	Thyroid	156159532	7.71228558546927
ENSG00000160785	SLC25A44	Thyroid	156159909	9.91524860980516
ENSG00000196189	SEMA4A	Thyroid	156160358	7.73909661401004
ENSG00000196189	SEMA4A	Thyroid	156160696	7.88517559013203
ENSG00000160785	SLC25A44	Thyroid	156160822	9.76007768628163
ENSG00000196189	SEMA4A	Thyroid	156160892	7.87885725247977
ENSG00000160785	SLC25A44	Thyroid	156161682	9.74310914786919
ENSG00000196189	SEMA4A	Thyroid	156162559	7.99273883607705
ENSG00000160785	SLC25A44	Thyroid	156163906	9.90222226546072
ENSG00000160785	SLC25A44	Thyroid	156164885	9.08614642737646
ENSG00000196189	SEMA4A	Thyroid	156165290	7.65986337135937
ENSG00000196189	SEMA4A	Thyroid	156165317	7.65986337135937
ENSG00000196189	SEMA4A	Thyroid	156165342	7.65981574634588
ENSG00000160785	SLC25A44	Thyroid	156165881	9.90362188902829
ENSG00000196189	SEMA4A	Thyroid	156168736	8.10720329893586
ENSG00000196189	SEMA4A	Thyroid	156169610	7.83372977858605
ENSG00000196189	SEMA4A	Thyroid	156171296	7.99528750735977
ENSG00000196189	SEMA4A	Thyroid	156172125	7.83372977858605
ENSG00000160785	SLC25A44	Thyroid	156173082	9.90067854256518
ENSG00000196189	SEMA4A	Thyroid	156173685	7.99528750735977
ENSG00000196189	SEMA4A	Thyroid	156174475	8.025268682563
ENSG00000160785	SLC25A44	Thyroid	156174930	9.74602749659772
ENSG00000160785	SLC25A44	Thyroid	156177285	8.94161953329766
ENSG00000196189	SEMA4A	Thyroid	156181007	7.83249657891809
ENSG00000196189	SEMA4A	Thyroid	156181770	7.83372977858605
ENSG00000196189	SEMA4A	Thyroid	156182710	7.81831358652275
ENSG00000160785	SLC25A44	Thyroid	156184268	8.90770754635579
ENSG00000196189	SEMA4A	Thyroid	156184458	7.88921843452247
ENSG00000160785	SLC25A44	Thyroid	156184598	8.90770754635579
ENSG00000196189	SEMA4A	Thyroid	156184747	8.31360775482406
ENSG00000160785	SLC25A44	Thyroid	156184831	8.90793234010134
ENSG00000196189	SEMA4A	Thyroid	156186604	7.81037776166859
ENSG00000196189	SEMA4A	Thyroid	156186615	7.95706239836175
ENSG00000196189	SEMA4A	Thyroid	156188214	7.78930434562164
ENSG00000160785	SLC25A44	Thyroid	156189626	9.39528267267312
ENSG00000196189	SEMA4A	Thyroid	156189793	8.62963496954608
ENSG00000196189	SEMA4A	Thyroid	156190083	7.87761043866871
ENSG00000160785	SLC25A44	Thyroid	156190280	9.14434155323985
ENSG00000160785	SLC25A44	Thyroid	156192028	9.06031305223776
ENSG00000160785	SLC25A44	Thyroid	156192351	7.50251193729269
ENSG00000160785	SLC25A44	Thyroid	156194339	9.0817892691618
ENSG00000160785	SLC25A44	Thyroid	156194363	9.28793142962765
ENSG00000160785	SLC25A44	Thyroid	156195205	9.07603983078924
ENSG00000160785	SLC25A44	Thyroid	156195682	9.10271993316383
ENSG00000160785	SLC25A44	Thyroid	156195888	7.6327577932737
ENSG00000160785	SLC25A44	Thyroid	156195971	8.62892844162074
ENSG00000160785	SLC25A44	Thyroid	156197380	9.01902407997518
ENSG00000160785	SLC25A44	Thyroid	156202640	9.17697007391254
ENSG00000160785	SLC25A44	Thyroid	156202759	9.15993030747333
ENSG00000160785	SLC25A44	Thyroid	156202809	7.80250165989088
ENSG00000160785	SLC25A44	Thyroid	156202860	9.16030957108408
ENSG00000160785	SLC25A44	Thyroid	156202868	9.16037993452777
ENSG00000196189	SEMA4A	Whole_Blood	156206121	7.60411471425234
ENSG00000160783	PMF1	BIOS_eQTL_geneLevel	156192028	41.7351821769905
ENSG00000260238	PMF1-BGLAP	BIOS_eQTL_geneLevel	156192028	41.7351821769905
ENSG00000160783	PMF1	BIOS_eQTL_geneLevel	156196016	12.5654310959658
