ensembl_gene_id	external_gene_name	start_position	end_position	strand	exon_chrom_start	exon_chrom_end
ENSG00000160785	SLC25A44	156163880	156182587	1	156180031	156180491
ENSG00000196189	SEMA4A	156117157	156147543	1	156117157	156117221
ENSG00000196189	SEMA4A	156117157	156147543	1	156124341	156124508
ENSG00000196189	SEMA4A	156117157	156147543	1	156126205	156126365
ENSG00000196189	SEMA4A	156117157	156147543	1	156127861	156127923
ENSG00000196189	SEMA4A	156117157	156147543	1	156128179	156128277
ENSG00000196189	SEMA4A	156117157	156147543	1	156128510	156128615
ENSG00000196189	SEMA4A	156117157	156147543	1	156130234	156130350
ENSG00000196189	SEMA4A	156117157	156147543	1	156130696	156130820
ENSG00000196189	SEMA4A	156117157	156147543	1	156131137	156131289
ENSG00000196189	SEMA4A	156117157	156147543	1	156119514	156119669
ENSG00000196189	SEMA4A	156117157	156147543	1	156131137	156131284
ENSG00000196189	SEMA4A	156117157	156147543	1	156119810	156119884
ENSG00000196189	SEMA4A	156117157	156147543	1	156131137	156131309
ENSG00000196189	SEMA4A	156117157	156147543	1	156132735	156132885
ENSG00000196189	SEMA4A	156117157	156147543	1	156142617	156142797
ENSG00000196189	SEMA4A	156117157	156147543	1	156144613	156144731
ENSG00000196189	SEMA4A	156117157	156147543	1	156144877	156145034
ENSG00000196189	SEMA4A	156117157	156147543	1	156145347	156145447
ENSG00000196189	SEMA4A	156117157	156147543	1	156146196	156147535
ENSG00000196189	SEMA4A	156117157	156147543	1	156119994	156120054
ENSG00000196189	SEMA4A	156117157	156147543	1	156124341	156124776
ENSG00000196189	SEMA4A	156117157	156147543	1	156123318	156123555
ENSG00000196189	SEMA4A	156117157	156147543	1	156123369	156123555
ENSG00000196189	SEMA4A	156117157	156147543	1	156146196	156147534
ENSG00000196189	SEMA4A	156117157	156147543	1	156123398	156123555
ENSG00000196189	SEMA4A	156117157	156147543	1	156130696	156130819
ENSG00000196189	SEMA4A	156117157	156147543	1	156124162	156124508
ENSG00000196189	SEMA4A	156117157	156147543	1	156146196	156147543
ENSG00000196189	SEMA4A	156117157	156147543	1	156124668	156126365
ENSG00000196189	SEMA4A	156117157	156147543	1	156128179	156128822
ENSG00000196189	SEMA4A	156117157	156147543	1	156126216	156126365
ENSG00000196189	SEMA4A	156117157	156147543	1	156128463	156128615
ENSG00000196189	SEMA4A	156117157	156147543	1	156144877	156145023
ENSG00000196189	SEMA4A	156117157	156147543	1	156130335	156130350
ENSG00000196189	SEMA4A	156117157	156147543	1	156131137	156131460
ENSG00000196189	SEMA4A	156117157	156147543	1	156130741	156130820
ENSG00000196189	SEMA4A	156117157	156147543	1	156132735	156133089
ENSG00000196189	SEMA4A	156117157	156147543	1	156131018	156131309
ENSG00000196189	SEMA4A	156117157	156147543	1	156145347	156145438
ENSG00000196189	SEMA4A	156117157	156147543	1	156145124	156145447
ENSG00000196189	SEMA4A	156117157	156147543	1	156146196	156146447
ENSG00000196189	SEMA4A	156117157	156147543	1	156123388	156123555
ENSG00000252236	SNORA26	156161854	156161994	-1	156161854	156161994
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156182773	156182967
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156202111	156202216
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156203419	156203519
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156206079	156206274
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156212344	156212382
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156212553	156212622
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156212824	156213123
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156182798	156182967
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156206140	156206274
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156212824	156213054
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156182800	156182967
ENSG00000260238	PMF1-BGLAP	156182773	156213123	1	156212824	156213112
