ensg	symbol	hgnc	entrezID	chr	start	end	strand	status	type	HUGO	codingSNPs	coding.max.CADD	eqtl	eqtl.minP	eqtl.minQ	leadSNPs	LID
ENSG00000204520	MICA	MICA	100507436	6	31371356	31383092	1	KNOWN	protein_coding	MICA	0	0	11	1.68576e-08	0.000674021	rs2249742:rs2523554:rs1799964	27:28
ENSG00000204516	MICB	MICB	4277	6	31462658	31478901	1	KNOWN	protein_coding	MICB	0	0	13	2.50129e-13	0.00033387446	rs1799964:rs1052248:rs12663103	28:29
ENSG00000204498	NFKBIL1	NFKBIL1	4795	6	31514647	31526606	1	KNOWN	protein_coding	NFKBIL1	1	14.39	0	NA	NA	rs2230365	28
ENSG00000204338	CYP21A1P	CYP21A1P	1590	6	31973413	31976228	1	KNOWN	pseudogene	CYP21A1P	0	0	2	7.17641e-08	0.00033387446	rs2523554	27
ENSG00000198502	HLA-DRB5	HLA-DRB5	3127	6	32485120	32498064	-1	KNOWN	protein_coding	HLA-DRB5	0	0	50	1.97801e-11	0.00033387446	rs1383264	33
ENSG00000229391	HLA-DRB6	HLA-DRB6	3128	6	32520490	32527799	-1	KNOWN	pseudogene	HLA-DRB6	0	0	31	3.01621e-26	0.00033387446	rs206016:rs3763313:rs2858331:rs2856997	29:31:32:34
ENSG00000196126	HLA-DRB1	HLA-DRB1	3123	6	32546546	32557625	-1	KNOWN	protein_coding	HLA-DRB1	0	0	49	9.01355e-09	0.00033387446	rs1383264	33
ENSG00000196735	HLA-DQA1	HLA-DQA1	3117	6	32595956	32614839	1	KNOWN	protein_coding	HLA-DQA1	0	0	1	7.01936e-07	0.00033387446	rs2858331	32
ENSG00000179344	HLA-DQB1	HLA-DQB1	3119	6	32627244	32636160	-1	KNOWN	protein_coding	HLA-DQB1	0	0	54	1.22442e-18	0.00033387446	rs2858331:rs1383264	32:33
ENSG00000223534	HLA-DQB1-AS1	HLA-DQB1-AS1	106480429	6	32627657	32628506	1	NOVEL	antisense	HLA-DQB1-AS1	0	0	5	4.60829e-12	0.00033387446	rs2858331	32
ENSG00000237541	HLA-DQA2	HLA-DQA2	3118	6	32709119	32714992	1	KNOWN	protein_coding	HLA-DQA2	0	0	5	8.3556e-12	0.00033387446	rs2858331	32
ENSG00000232629	HLA-DQB2	HLA-DQB2	3120	6	32723875	32731311	-1	KNOWN	protein_coding	HLA-DQB2	0	0	1	5.68882e-07	0.00033387446	rs1383264	33
ENSG00000241106	HLA-DOB	HLA-DOB	3112	6	32780540	32784825	-1	KNOWN	protein_coding	HLA-DOB	0	0	124	1.51531e-17	0.00033387446	rs1383264:rs2856997	33:34
ENSG00000204267	TAP2	TAP2	6891	6	32789610	32806557	-1	KNOWN	protein_coding	NA	0	0	73	3.58596e-18	0.00033387446	rs2856997	34
ENSG00000223501	VPS52	VPS52	6293	6	33218049	33239824	-1	KNOWN	protein_coding	VPS52	0	0	2	2.39554e-06	0.049691495	rs3763313	31
ENSG00000071242	RPS6KA2	RPS6KA2	6196	6	166822852	167319939	-1	KNOWN	protein_coding	RPS6KA2	0	0	3	7.83381e-07	0.00033387446	rs415890	36
ENSG00000026297	RNASET2	RNASET2	8635	6	167342992	167370679	-1	KNOWN	protein_coding	RNASET2	0	0	358	0	0.00033387446	rs9355610:rs415890:rs12203510	36
ENSG00000213066	FGFR1OP	FGFR1OP	11116	6	167412670	167466201	1	KNOWN	protein_coding	FGFR1OP	0	0	9	6.77151e-08	0.00090001296	rs12203510	36
ENSG00000096968	JAK2	JAK2	3717	9	4985033	5128183	1	KNOWN	protein_coding	JAK2	1	15.07	0	NA	NA	rs12347727	41
ENSG00000236254	MTND4P14	MTND4P14	100653489	9	5107937	5109290	1	KNOWN	pseudogene	MTND4P14	1	12.38	0	NA	NA	rs12347727	41
ENSG00000181634	TNFSF15	TNFSF15	9966	9	117546915	117568406	-1	KNOWN	protein_coding	TNFSF15	0	0	16	1.08366e-08	0.00033387446	rs3810936:rs7040029	42
ENSG00000213221	DNLZ	DNLZ	728489	9	139253932	139258241	-1	KNOWN	protein_coding	DNLZ	0	0	1	7.82291e-08	0.00033387446	rs4077515:rs8413	43
ENSG00000187796	CARD9	CARD9	64170	9	139256355	139268133	-1	KNOWN	protein_coding	CARD9	1	13.11	154	6.32799e-19	0.00033387446	rs4077515:rs563:rs10448340:rs8413	43
ENSG00000165684	SNAPC4	SNAPC4	6621	9	139270029	139293249	-1	KNOWN	protein_coding	SNAPC4	1	20.2	5	1.77697e-06	0.00033387446	rs4077515:rs17567909	43
ENSG00000165689	SDCCAG3	SDCCAG3	10807	9	139296377	139305061	-1	KNOWN	protein_coding	SDCCAG3	0	0	121	3.06478e-15	0.00033387446	rs4077515:rs563:rs10448340:rs8413	43
ENSG00000148384	INPP5E	INPP5E	56623	9	139323071	139334274	-1	KNOWN	protein_coding	INPP5E	1	16.89	4	3.12233e-06	0.0196488	rs4077515:rs10448340:rs8413	43
ENSG00000148396	SEC16A	SEC16A	9919	9	139334549	139372141	-1	KNOWN	protein_coding	SEC16A	1	21.8	154	2.36228e-27	0.00033387446	rs4077515:rs563:rs10448340:rs8413	43
ENSG00000196366	C9orf163	C9orf163	158055	9	139377947	139380518	1	KNOWN	protein_coding	C9orf163	1	22.1	0	NA	NA	rs10448340	43
ENSG00000108094	CUL2	CUL2	8453	10	35297479	35379570	-1	KNOWN	protein_coding	CUL2	1	17.44	0	NA	NA	rs12242110	44
ENSG00000119919	NKX2-3	NKX2-3	159296	10	101292690	101296278	1	KNOWN	protein_coding	NKX2-3	1	15.6	0	NA	NA	rs4409764	48
ENSG00000188906	LRRK2	LRRK2	120892	12	40590546	40763087	1	KNOWN	protein_coding	LRRK2	1	24.7	0	NA	NA	rs11564258	52
ENSG00000205592	MUC19	MUC19	283463	12	40787197	40964632	1	KNOWN	protein_coding	MUC19	6	22.6	0	NA	NA	rs11564258	52
ENSG00000188322	SBK1	SBK1	388228	16	28303840	28335170	1	KNOWN	protein_coding	SBK1	0	0	10	2.57146e-07	0.007831887	rs151181	57
ENSG00000198156	NPIPB6	NPIPB6	728741	16	28353876	28374829	-1	NOVEL	protein_coding	NPIPB6	0	0	243	4.63215e-08	0.00090001296	rs151181	57
ENSG00000205609	EIF3CL	EIF3CL	728689	16	28390900	28415200	-1	KNOWN	protein_coding	EIF3CL	0	0	160	1.5578e-09	0.00033387446	rs2650492:rs151181	57
ENSG00000188603	CLN3	CLN3	1201	16	28477983	28506896	-1	KNOWN	protein_coding	NA	0	0	17	2.18442e-06	0.00033387446	rs151181	57
ENSG00000197272	IL27	IL27	246778	16	28510683	28523372	-1	KNOWN	protein_coding	IL27	1	23.5	0	NA	NA	rs151181	57
ENSG00000197165	SULT1A2	SULT1A2	6799	16	28603264	28608430	-1	KNOWN	protein_coding	SULT1A2	1	26	295	0	0.00033387446	rs2650492:rs151181	57
ENSG00000196502	SULT1A1	SULT1A1	6817	16	28616903	28634946	-1	KNOWN	protein_coding	SULT1A1	0	0	267	3.64169e-13	0.00033387446	rs2650492:rs151181	57
ENSG00000255524	NPIPB8	NPIPB8	728734	16	28648975	28670003	1	NOVEL	protein_coding	NPIPB8	1	23.2	0	NA	NA	rs151181	57
ENSG00000184110	EIF3C	EIF3C	8663	16	28699879	28747051	1	KNOWN	protein_coding	EIF3C	0	0	57	1.22494e-08	0.00033387446	rs2650492:rs151181	57
ENSG00000259982	CDC37P1	CDC37P1	390688	16	28711615	28712861	-1	KNOWN	pseudogene	CDC37P1	0	0	294	8.26971e-27	0.00033387446	rs2650492:rs151181	57
ENSG00000178952	TUFM	TUFM	7284	16	28853732	28857729	-1	KNOWN	protein_coding	TUFM	0	0	295	0	0.00033387446	rs2650492:rs151181	57
ENSG00000264455	MIR4721	MIR4721	100616256	16	28855240	28855328	-1	KNOWN	miRNA	MIR4721	0	0	293	4.00033e-33	0.00033387446	rs2650492:rs151181	57
ENSG00000178188	SH2B1	SH2B1	25970	16	28857921	28885526	1	KNOWN	protein_coding	SH2B1	0	0	73	2.51121e-07	0.00090001296	rs151181	57
ENSG00000176953	NFATC2IP	NFATC2IP	84901	16	28962128	28978418	1	KNOWN	protein_coding	NFATC2IP	0	0	57	2.80957e-06	0.0045622275	rs151181	57
ENSG00000169682	SPNS1	SPNS1	83985	16	28985542	28995869	1	KNOWN	protein_coding	SPNS1	0	0	282	6.11608e-14	0.00033387446	rs151181	57
ENSG00000121281	ADCY7	ADCY7	113	16	50280048	50352046	1	KNOWN	protein_coding	ADCY7	1	16.29	0	NA	NA	rs9922362	58
ENSG00000166164	BRD7	BRD7	29117	16	50347398	50402845	-1	KNOWN	protein_coding	BRD7	0	0	16	1.9659e-19	0.00033387446	rs4643314:rs8047812	58
ENSG00000167207	NOD2	NOD2	64127	16	50727514	50766988	1	KNOWN	protein_coding	NOD2	0	0	25	6.30809e-19	0.00033387446	rs1109863:rs7194886:rs2076756:rs1077861	60:61
ENSG00000161395	PGAP3	PGAP3	93210	17	37827375	37853050	-1	KNOWN	protein_coding	PGAP3	0	0	7	3.39865e-06	0.00092470547	rs2872507	63
ENSG00000161405	IKZF3	IKZF3	22806	17	37921198	38020441	-1	KNOWN	protein_coding	IKZF3	1	13.87	0	NA	NA	rs2872507	63
ENSG00000186075	ZPBP2	ZPBP2	124626	17	38024417	38034149	1	KNOWN	protein_coding	ZPBP2	1	13.51	0	NA	NA	rs2872507	63
ENSG00000073605	GSDMB	GSDMB	55876	17	38060848	38076107	-1	KNOWN	protein_coding	GSDMB	1	23.1	112	5.2641e-30	0.00033387446	rs2872507	63
ENSG00000172057	ORMDL3	ORMDL3	94103	17	38077294	38083854	-1	KNOWN	protein_coding	ORMDL3	0	0	112	1.13308e-30	0.00033387446	rs2872507	63
ENSG00000167914	GSDMA	GSDMA	284110	17	38119226	38134019	1	KNOWN	protein_coding	GSDMA	0	0	3	1.05113e-07	0.000674021	rs2872507	63
ENSG00000064932	SBNO2	SBNO2	22904	19	1107636	1174282	-1	KNOWN	protein_coding	SBNO2	1	13.81	0	NA	NA	rs740495	67
ENSG00000090339	ICAM1	ICAM1	3383	19	10381511	10397291	1	KNOWN	protein_coding	ICAM1	0	0	4	2.12811e-09	0.00033387446	rs12720356:rs11879191	68
ENSG00000105371	ICAM4	ICAM4	3386	19	10397643	10399198	1	KNOWN	protein_coding	ICAM4	0	0	11	4.62782e-10	0.00033387446	rs12720356	68
ENSG00000105376	ICAM5	ICAM5	7087	19	10400657	10407454	1	KNOWN	protein_coding	ICAM5	0	0	4	2.50999e-08	0.0011756544	rs12720356	68
ENSG00000105397	TYK2	TYK2	7297	19	10461209	10491352	-1	KNOWN	protein_coding	TYK2	1	28.6	0	NA	NA	rs12720356	68
ENSG00000065989	PDE4A	PDE4A	5141	19	10527449	10580305	1	KNOWN	protein_coding	PDE4A	2	15.39	0	NA	NA	rs12720356:rs11879191	68
ENSG00000142233	NTN5	NTN5	126147	19	49164664	49176338	-1	KNOWN	protein_coding	NTN5	0	0	10	3.34805e-06	0.01705586	rs281379	69
ENSG00000176920	FUT2	FUT2	2524	19	49199228	49209207	1	KNOWN	protein_coding	FUT2	2	37	62	6.57307e-25	0.000674021	rs281379	69
ENSG00000105538	RASIP1	RASIP1	54922	19	49223844	49243978	-1	KNOWN	protein_coding	RASIP1	1	32	6	4.84703e-07	0.007920821	rs281379	69
ENSG00000197457	STMN3	STMN3	50861	20	62271061	62284780	-1	KNOWN	protein_coding	STMN3	0	0	99	1.1093e-08	0.00090001296	rs310672:rs909334:rs2297441:rs4809330	70:71
ENSG00000243509	TNFRSF6B	TNFRSF6B	8771	20	62328021	62330037	1	KNOWN	protein_coding	TNFRSF6B	1	14.88	0	NA	NA	rs2297441	71
ENSG00000241973	PI4KA	PI4KA	5297	22	21061979	21213705	-1	KNOWN	protein_coding	PI4KA	1	17.21	0	NA	NA	rs181359	74
ENSG00000185651	UBE2L3	UBE2L3	7332	22	21903736	21978323	1	KNOWN	protein_coding	UBE2L3	0	0	91	6.48788e-09	0.00062095653	rs181359	74
ENSG00000161179	YDJC	YDJC	150223	22	21982378	21984353	-1	KNOWN	protein_coding	YDJC	1	24.8	0	NA	NA	rs181359	74
ENSG00000161180	CCDC116	CCDC116	164592	22	21987005	21991616	1	KNOWN	protein_coding	CCDC116	0	0	93	4.82983e-14	0.0011041145	rs181359	74
